Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;371.1;390.3;661.0;786.0;None;
Short-Term Investments;--;7.5;6.0;5.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;371.1;397.8;667.0;791.0;None;
Accounts Receivable;915.9;1121.7;1148.0;1192.0;None;
Other Receivables;43.4;79.2;92.0;100.0;None;
TOTAL RECEIVABLES;959.2;1200.9;1240.0;1292.0;None;
Inventory;645.5;753.4;830.0;869.0;None;
Prepaid Expenses;26.1;41.8;39.0;46.0;None;
Other Current Assets;39.9;34.8;50.0;33.0;None;
TOTAL CURRENT ASSETS;2041.7;2428.7;2826.0;3031.0;None;
Gross Property Plant and Equipment;2275.6;2508.6;2704.0;2745.0;None;
Accumulated Depreciation;-1399.4;-1553.3;-1704.0;-1747.0;None;
NET PROPERTY PLANT AND EQUIPMENT;876.2;955.3;1000.0;998.0;None;
Goodwill;1522.0;1883.3;2087.0;2476.0;None;
Long-Term Investments;126.3;142.2;149.0;130.0;None;
Accounts Receivable Long Term;7.8;3.9;25.0;17.0;None;
Loans Receivable Long Term;43.2;60.5;80.0;80.0;None;
Deferred Tax Assets Long Term;93.2;101.7;117.0;112.0;None;
Other Intangibles;501.4;581.8;622.0;732.0;None;
Other Long-Term Assets;1.2;0.9;1.0;1.0;None;
TOTAL ASSETS;5213.0;6158.2;6907.0;7577.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;376.8;469.8;489.0;502.0;None;
Accrued Expenses;206.0;236.7;267.0;276.0;None;
Short-Term Borrowings;25.2;26.6;81.0;37.0;None;
Current Portion of Long-Term Debt/Capital Lease;377.7;579.9;309.0;530.0;None;
Current Portion of Capital Lease Obligations;2.3;2.1;2.0;--;None;
Current Income Taxes Payable;38.3;62.2;76.0;63.0;None;
Other Current Liabilities Total;444.1;540.1;641.0;614.0;None;
Unearned Revenue Current;10.1;11.3;11.0;16.0;None;
TOTAL CURRENT LIABILITIES;1478.1;1926.7;1874.0;2038.0;None;
Long-Term Debt;281.8;305.0;522.0;603.0;None;
Capital Leases;3.7;4.2;4.0;4.0;None;
Minority Interest;43.2;132.9;257.0;285.0;None;
Pension & Other Post-Retirement Benefits;162.9;177.7;213.0;209.0;None;
Deferred Tax Liability Non-Current;124.4;148.8;147.0;165.0;None;
Other Non-Current Liabilities;117.9;138.2;233.0;517.0;None;
TOTAL LIABILITIES;2168.9;2700.4;2993.0;3536.0;None;
Common Stock;38.1;38.5;39.0;39.0;None;
Additional Paid in Capital;224.7;307.4;311.0;302.0;None;
Retained Earnings;462.0;505.6;584.0;593.0;None;
Treasury Stock;-136.3;-264.1;-239.0;-304.0;None;
Comprehensive Income and Other;2412.5;2737.4;2962.0;3126.0;None;
TOTAL COMMON EQUITY;3001.0;3324.9;3657.0;3756.0;None;
TOTAL EQUITY;3044.2;3457.8;3914.0;4041.0;None;
TOTAL LIABILITIES AND EQUITY;5213.0;6158.2;6907.0;7577.0;None;
