Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3891.6;4189.5;4989.0;5065.0;None;
TOTAL REVENUES;3891.6;4189.5;4989.0;5065.0;None;
Cost of Goods Sold;1732.0;1868.1;2205.0;2227.0;None;
GROSS PROFIT;2159.6;2321.5;2784.0;2838.0;None;
Selling General & Admin Expenses Total;881.4;982.9;1168.0;1177.0;None;
R&D Expenses;150.9;151.5;162.0;164.0;None;
Other Operating Expenses;448.9;471.4;592.0;615.0;None;
OTHER OPERATING EXPENSES TOTAL;1481.2;1605.7;1922.0;1956.0;None;
OPERATING INCOME;678.4;715.7;862.0;882.0;None;
Interest Expense;-15.0;-26.0;-24.0;-26.0;None;
Interest and Investment Income;10.2;11.0;18.0;18.0;None;
NET INTEREST EXPENSE;-4.8;-15.0;-6.0;-8.0;None;
Income (Loss) on Equity Investments;31.7;27.9;24.0;22.0;None;
Currency Exchange Gains (Loss);-3.8;-0.1;-7.0;-1.0;None;
Other Non-Operating Income (Expenses);2.1;8.1;--;2.0;None;
EBT EXCLUDING UNUSUAL ITEMS;703.6;736.6;873.0;897.0;None;
Merger & Restructuring Charges;-44.4;-30.1;-27.0;-33.0;None;
Gain (Loss) on Sale of Investments;-1.0;-0.8;--;-3.0;None;
Gain (Loss) on Sale of Assets;26.0;-2.5;16.0;-1.0;None;
Other Unusual Items Total;-44.8;-5.6;-25.0;-15.0;None;
Legal Settlements;-41.5;--;-20.0;-5.0;None;
Other Unusual Items;-3.3;-5.6;-5.0;-10.0;None;
EBT INCLUDING UNUSUAL ITEMS;639.4;697.6;837.0;845.0;None;
Income Tax Expense;167.4;179.4;207.0;199.0;None;
Minority Interest in Earnings;-10.1;-12.6;-46.0;-53.0;None;
Earnings from Continuing Operations;472.0;518.2;630.0;646.0;None;
NET INCOME;462.0;505.6;584.0;593.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;462.0;505.6;584.0;593.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;462.0;505.6;584.0;593.0;None;
