Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;306.2;347.3;308.4;302.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;306.2;347.3;308.4;302.2;None;
Other Receivables;1596.9;1541.1;1572.7;1630.3;None;
TOTAL RECEIVABLES;717.3;746.8;709.8;740.6;None;
Other Current Assets;5.1;5.5;9.5;13.8;None;
TOTAL CURRENT ASSETS;1689.1;1736.1;1675.8;1710.0;None;
Gross Property Plant and Equipment;316.1;324.5;268.4;285.3;None;
Accumulated Depreciation;-164.8;-175.2;-125.7;-146.9;None;
NET PROPERTY PLANT AND EQUIPMENT;151.3;149.3;142.7;138.3;None;
Goodwill;107.7;109.4;104.3;99.5;None;
Deferred Tax Assets Long Term;43.2;22.1;67.5;24.4;None;
Deferred Charges Long Term;10.5;12.1;12.5;12.9;None;
Other Intangibles;65.6;69.7;76.6;89.0;None;
Other Long-Term Assets;9.3;4.0;53.7;60.2;None;
TOTAL ASSETS;5659.2;5818.1;6077.1;6062.7;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accrued Expenses;134.4;190.6;196.0;137.5;None;
Current Income Taxes Payable;14.6;34.4;20.4;46.3;None;
Other Current Liabilities Total;105.4;129.9;120.5;117.1;None;
TOTAL CURRENT LIABILITIES;2057.7;2194.1;2244.6;2307.9;None;
Long-Term Debt;504.3;393.4;389.7;260.0;None;
Minority Interest;18.0;18.0;68.3;66.6;None;
Unearned Revenue Non-Current;9.8;9.8;27.0;30.1;None;
Pension & Other Post-Retirement Benefits;104.8;112.2;255.3;258.9;None;
Deferred Tax Liability Non-Current;365.6;330.1;312.3;264.9;None;
Other Non-Current Liabilities;123.4;101.1;79.8;51.6;None;
TOTAL LIABILITIES;3510.7;3522.2;3663.6;3534.2;None;
Common Stock;14.4;14.5;14.5;14.5;None;
Additional Paid in Capital;452.6;454.5;456.9;465.0;None;
Retained Earnings;1724.5;1879.3;305.5;313.7;None;
Treasury Stock;-66.7;-77.6;-61.9;-59.5;None;
Comprehensive Income and Other;5.6;7.1;1630.3;1728.1;None;
TOTAL COMMON EQUITY;2130.4;2277.9;2345.2;2461.9;None;
TOTAL EQUITY;2148.4;2295.9;2413.5;2528.5;None;
TOTAL LIABILITIES AND EQUITY;5659.2;5818.1;6077.1;6062.7;None;
