Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;372.5;378.8;402.8;407.2;None;
TOTAL REVENUES;2258.3;2385.8;2508.1;2573.2;None;
Cost of Goods Sold;1053.9;1166.6;1441.0;1473.0;None;
GROSS PROFIT;1204.4;1219.2;1067.1;1100.2;None;
Selling General & Admin Expenses Total;193.6;207.8;239.9;206.1;None;
Other Operating Expenses;551.5;541.9;385.7;461.9;None;
OTHER OPERATING EXPENSES TOTAL;745.2;749.6;625.5;667.9;None;
OPERATING INCOME;459.2;469.6;441.6;432.2;None;
Interest Expense;-13.9;-17.4;-13.9;-11.2;None;
Income (Loss) on Equity Investments;15.8;17.0;14.0;6.4;None;
Currency Exchange Gains (Loss);13.0;2.5;-0.8;-0.5;None;
Other Non-Operating Income (Expenses);-10.4;-8.0;16.5;36.9;None;
Merger & Restructuring Charges;-72.5;--;-21.2;-9.7;None;
Impairment of Goodwill;--;--;-3.3;--;None;
Gain (Loss) on Sale of Assets;--;--;-0.5;--;None;
EBT INCLUDING UNUSUAL ITEMS;391.2;463.7;432.3;454.1;None;
Income Tax Expense;93.4;130.2;122.5;137.0;None;
Minority Interest in Earnings;-3.3;-3.2;-4.3;-3.4;None;
Earnings from Continuing Operations;297.8;333.5;309.8;317.1;None;
NET INCOME;294.5;330.3;305.5;313.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;294.5;330.3;305.5;313.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;294.5;330.3;305.5;313.7;None;
