Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;5576.0;3415.0;4487.0;3570.0;None;
Short-Term Investments;18.0;15.0;10.0;16.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;5594.0;3430.0;4497.0;3586.0;None;
Accounts Receivable;6167.0;6739.0;6364.0;6205.0;None;
Other Receivables;1899.0;1955.0;2068.0;1972.0;None;
TOTAL RECEIVABLES;8066.0;8694.0;8432.0;8177.0;None;
Inventory;2062.0;2091.0;2334.0;2378.0;None;
Prepaid Expenses;217.0;216.0;202.0;175.0;None;
Other Current Assets;1027.0;1049.0;1119.0;2304.0;None;
TOTAL CURRENT ASSETS;16966.0;15480.0;16584.0;16620.0;None;
Gross Property Plant and Equipment;15197.0;16256.0;16690.0;16696.0;None;
Accumulated Depreciation;-9038.0;-9714.0;-10239.0;-10377.0;None;
NET PROPERTY PLANT AND EQUIPMENT;6159.0;6542.0;6451.0;6319.0;None;
Goodwill;5531.0;5580.0;5648.0;5280.0;None;
Long-Term Investments;5387.0;5486.0;5543.0;3556.0;None;
Loans Receivable Long Term;292.0;369.0;370.0;400.0;None;
Deferred Tax Assets Long Term;261.0;256.0;272.0;251.0;None;
Deferred Charges Long Term;47.0;48.0;44.0;41.0;None;
Other Intangibles;943.0;1161.0;1842.0;1837.0;None;
TOTAL ASSETS;35586.0;34922.0;36754.0;34304.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;6347.0;6826.0;6925.0;6805.0;None;
Accrued Expenses;2450.0;2576.0;2529.0;2527.0;None;
Short-Term Borrowings;294.0;239.0;189.0;363.0;None;
Current Portion of Long-Term Debt/Capital Lease;994.0;216.0;951.0;1009.0;None;
Current Portion of Capital Lease Obligations;23.0;20.0;16.0;12.0;None;
Current Income Taxes Payable;137.0;136.0;82.0;121.0;None;
Other Current Liabilities Total;2818.0;2959.0;2847.0;2815.0;None;
Unearned Revenue Current;3207.0;3417.0;3308.0;3021.0;None;
TOTAL CURRENT LIABILITIES;16247.0;16369.0;16831.0;16661.0;None;
Long-Term Debt;6703.0;6772.0;7476.0;6587.0;None;
Capital Leases;47.0;35.0;26.0;25.0;None;
Minority Interest;1290.0;1317.0;1500.0;1530.0;None;
Pension & Other Post-Retirement Benefits;498.0;480.0;628.0;650.0;None;
Deferred Tax Liability Non-Current;112.0;202.0;170.0;171.0;None;
Other Non-Current Liabilities;1372.0;1386.0;1545.0;1526.0;None;
TOTAL LIABILITIES;24979.0;25244.0;26676.0;25620.0;None;
Common Stock;366.0;315.0;324.0;319.0;None;
Additional Paid in Capital;2345.0;839.0;979.0;888.0;None;
Retained Earnings;1071.0;1070.0;633.0;-757.0;None;
Treasury Stock;-155.0;--;--;--;None;
Comprehensive Income and Other;5690.0;6137.0;6642.0;6704.0;None;
TOTAL COMMON EQUITY;9317.0;8361.0;8578.0;7154.0;None;
TOTAL EQUITY;10607.0;9678.0;10078.0;8684.0;None;
TOTAL LIABILITIES AND EQUITY;35586.0;34922.0;36754.0;34304.0;None;
