Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;31225.0;32706.0;33547.0;33345.0;None;
Other Revenues;144.0;139.0;107.0;96.0;None;
TOTAL REVENUES;31369.0;32845.0;33654.0;33441.0;None;
Cost of Goods Sold;14002.0;14869.0;16080.0;16088.0;None;
GROSS PROFIT;17367.0;17976.0;17574.0;17353.0;None;
Selling General & Admin Expenses Total;13595.0;14279.0;14368.0;14138.0;None;
Depreciation & Amortization Total;1392.0;1411.0;1462.0;1413.0;None;
Other Operating Expenses;205.9;506.0;458.0;446.0;None;
OTHER OPERATING EXPENSES TOTAL;15192.9;16196.0;16288.0;15997.0;None;
OPERATING INCOME;2174.1;1780.0;1286.0;1356.0;None;
Interest Expense;-380.0;-355.0;-346.0;-361.0;None;
Interest and Investment Income;63.0;82.0;62.0;55.0;None;
NET INTEREST EXPENSE;-317.0;-273.0;-284.0;-306.0;None;
Income (Loss) on Equity Investments;278.0;198.0;217.0;205.0;None;
Other Non-Operating Income (Expenses);-49.0;-17.0;-1.0;-29.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2086.1;1688.0;1218.0;1226.0;None;
Merger & Restructuring Charges;--;--;-200.0;-91.0;None;
Impairment of Goodwill;-21.0;--;--;-12.0;None;
Gain (Loss) on Sale of Investments;137.9;--;6.0;-1404.0;None;
Gain (Loss) on Sale of Assets;91.0;77.0;34.0;--;None;
Other Unusual Items Total;-549.0;--;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;1745.0;1765.0;1058.0;-281.0;None;
Income Tax Expense;482.0;528.0;330.0;367.0;None;
Minority Interest in Earnings;-192.0;-167.0;-95.0;-109.0;None;
Earnings from Continuing Operations;1263.0;1237.0;728.0;-648.0;None;
NET INCOME;1071.0;1070.0;633.0;-757.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1071.0;1070.0;633.0;-757.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1071.0;1070.0;633.0;-757.0;None;
