Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;605.8;630.1;628.0;701.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;605.8;630.1;628.0;701.8;None;
Accounts Receivable;1387.7;1620.2;1702.8;1680.7;None;
Notes Receivable;3.5;3.7;6.2;6.1;None;
Other Receivables;197.0;234.9;236.1;217.8;None;
TOTAL RECEIVABLES;1588.2;1858.8;1945.1;1904.6;None;
Inventory;734.0;885.4;1096.2;1123.4;None;
Prepaid Expenses;14.6;9.0;30.0;57.8;None;
Other Current Assets;108.9;182.7;244.8;199.3;None;
TOTAL CURRENT ASSETS;3051.5;3566.0;3944.1;3986.9;None;
Gross Property Plant and Equipment;--;--;5403.5;5493.6;None;
Accumulated Depreciation;--;--;-3431.3;-3465.7;None;
NET PROPERTY PLANT AND EQUIPMENT;1575.5;1733.4;1972.2;2027.9;None;
Goodwill;1230.8;1260.6;1300.0;1297.1;None;
Long-Term Investments;67.3;122.6;123.8;123.0;None;
Loans Receivable Long Term;19.4;22.6;29.0;29.0;None;
Deferred Tax Assets Long Term;86.2;78.3;95.1;161.8;None;
Deferred Charges Long Term;377.2;415.1;534.8;628.1;None;
Other Intangibles;58.0;49.1;53.3;58.1;None;
Other Long-Term Assets;14.5;16.9;18.1;18.9;None;
TOTAL ASSETS;6480.4;7264.6;8070.4;8330.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2419.9;2762.0;2754.0;3053.1;None;
Accrued Expenses;452.8;507.6;519.1;517.2;None;
Short-Term Borrowings;608.4;573.7;684.1;772.6;None;
Current Portion of Long-Term Debt/Capital Lease;79.3;41.9;80.5;148.2;None;
Current Income Taxes Payable;32.0;34.9;33.7;44.5;None;
Other Current Liabilities Total;494.7;438.7;475.8;350.8;None;
Unearned Revenue Current;135.2;162.5;182.6;189.6;None;
TOTAL CURRENT LIABILITIES;4222.3;4521.3;4729.8;5076.0;None;
Long-Term Debt;1077.9;1210.3;1641.8;1277.7;None;
Capital Leases;37.0;29.8;29.3;31.1;None;
Minority Interest;87.7;113.6;132.6;140.5;None;
Pension & Other Post-Retirement Benefits;160.5;189.3;252.4;240.0;None;
Deferred Tax Liability Non-Current;29.2;15.6;14.0;19.6;None;
Other Non-Current Liabilities;55.3;72.9;48.6;44.1;None;
TOTAL LIABILITIES;5582.2;6039.2;6715.9;6688.5;None;
Common Stock;772.6;772.6;775.8;858.1;None;
Additional Paid in Capital;282.4;282.4;279.1;410.4;None;
Retained Earnings;-317.3;19.3;173.2;258.7;None;
Treasury Stock;-10.4;-1.7;-1.6;-1.4;None;
Comprehensive Income and Other;83.2;39.2;-4.6;-24.0;None;
TOTAL COMMON EQUITY;810.5;1111.8;1221.9;1501.8;None;
TOTAL EQUITY;898.2;1225.4;1354.5;1642.3;None;
TOTAL LIABILITIES AND EQUITY;6480.4;7264.6;8070.4;8330.8;None;
