Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;13795.9;16190.2;17364.5;18028.6;None;
TOTAL REVENUES;13795.9;16190.2;17364.5;18028.6;None;
Cost of Goods Sold;12593.3;14806.4;16038.7;16636.1;None;
GROSS PROFIT;1202.6;1383.8;1325.8;1392.5;None;
Selling General & Admin Expenses Total;443.8;510.6;569.9;600.2;None;
R&D Expenses;316.8;224.4;242.1;254.3;None;
OTHER OPERATING EXPENSES TOTAL;760.6;735.0;812.0;854.5;None;
OPERATING INCOME;442.0;648.8;513.8;538.0;None;
Interest Expense;-98.7;-109.1;-175.4;-196.9;None;
Interest and Investment Income;8.1;10.6;10.2;9.0;None;
NET INTEREST EXPENSE;-90.6;-98.5;-165.2;-187.9;None;
Income (Loss) on Equity Investments;18.8;33.7;23.6;14.0;None;
Currency Exchange Gains (Loss);-4.4;1.0;-8.8;-15.4;None;
Other Non-Operating Income (Expenses);-21.7;-21.9;-41.8;-38.3;None;
EBT EXCLUDING UNUSUAL ITEMS;344.1;563.1;321.6;310.4;None;
Merger & Restructuring Charges;-122.3;-55.8;-83.7;-91.3;None;
Impairment of Goodwill;84.3;--;15.5;--;None;
Gain (Loss) on Sale of Investments;--;-0.2;--;--;None;
Gain (Loss) on Sale of Assets;2.5;--;-0.3;-0.1;None;
Other Unusual Items Total;13.6;2.1;2.5;-7.8;None;
Other Unusual Items;--;--;--;-8.1;None;
EBT INCLUDING UNUSUAL ITEMS;322.2;509.2;255.6;211.2;None;
Income Tax Expense;89.8;95.9;67.4;64.7;None;
Minority Interest in Earnings;-30.7;-42.0;-42.1;-55.8;None;
Earnings from Continuing Operations;232.4;413.3;188.2;146.5;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;-2.6;-3.1;None;
NET INCOME;201.7;371.3;143.5;87.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;201.7;371.3;143.5;87.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;201.7;371.3;146.1;90.7;None;
