Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1227.0;911.0;621.0;742.0;None;
Short-Term Investments;359.0;473.0;368.0;169.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1586.0;1384.0;989.0;911.0;None;
Accounts Receivable;642.0;664.0;690.0;580.0;None;
Other Receivables;12.0;33.0;38.0;48.0;None;
TOTAL RECEIVABLES;654.0;697.0;728.0;628.0;None;
Inventory;996.0;1093.0;1038.0;989.0;None;
Other Current Assets;128.0;46.0;51.0;45.0;None;
TOTAL CURRENT ASSETS;3364.0;3220.0;2806.0;2573.0;None;
Gross Property Plant and Equipment;4249.0;4627.0;5170.0;5386.0;None;
Accumulated Depreciation;-2346.0;-2508.0;-2716.0;-2850.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1903.0;2119.0;2454.0;2536.0;None;
Goodwill;172.0;210.0;173.0;163.0;None;
Long-Term Investments;108.0;110.0;95.0;95.0;None;
Accounts Receivable Long Term;5.0;5.0;7.0;5.0;None;
Loans Receivable Long Term;--;--;--;18.0;None;
Deferred Tax Assets Long Term;30.0;25.0;31.0;77.0;None;
Deferred Charges Long Term;--;--;--;85.0;None;
Other Intangibles;521.0;612.0;717.0;370.0;None;
Other Long-Term Assets;--;--;26.0;38.0;None;
TOTAL ASSETS;6103.0;6301.0;6309.0;5960.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;731.0;833.0;805.0;746.0;None;
Short-Term Borrowings;26.0;28.0;28.0;35.0;None;
Current Portion of Long-Term Debt/Capital Lease;69.0;62.0;215.0;298.0;None;
Current Portion of Capital Lease Obligations;5.0;5.0;5.0;9.0;None;
Current Income Taxes Payable;149.0;77.0;72.0;80.0;None;
Other Current Liabilities Total;93.0;120.0;70.0;64.0;None;
TOTAL CURRENT LIABILITIES;1068.0;1120.0;1190.0;1223.0;None;
Long-Term Debt;167.0;120.0;285.0;757.0;None;
Capital Leases;36.0;31.0;26.0;42.0;None;
Minority Interest;1016.0;1043.0;815.0;478.0;None;
Pension & Other Post-Retirement Benefits;74.0;80.0;135.0;137.0;None;
Deferred Tax Liability Non-Current;342.0;406.0;355.0;279.0;None;
Other Non-Current Liabilities;442.0;465.0;509.0;512.0;None;
TOTAL LIABILITIES;2129.0;2222.0;2500.0;2950.0;None;
Common Stock;81.0;81.0;81.0;81.0;None;
Additional Paid in Capital;371.0;372.0;373.0;373.0;None;
Comprehensive Income and Other;2506.0;2583.0;2540.0;2078.0;None;
TOTAL COMMON EQUITY;2958.0;3036.0;2994.0;2532.0;None;
TOTAL EQUITY;3974.0;4079.0;3809.0;3010.0;None;
TOTAL LIABILITIES AND EQUITY;6103.0;6301.0;6309.0;5960.0;None;
