Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3576.0;3603.0;3447.0;3162.0;None;
Other Revenues;20.0;17.0;--;--;None;
TOTAL REVENUES;3596.0;3620.0;3447.0;3162.0;None;
Cost of Goods Sold;2437.0;2674.0;2823.0;2745.0;None;
GROSS PROFIT;1159.0;946.0;624.0;417.0;None;
Selling General & Admin Expenses Total;155.0;174.0;207.0;211.0;None;
R&D Expenses;44.0;47.0;51.0;47.0;None;
Depreciation & Amortization Total;225.0;230.0;245.0;262.0;None;
Other Operating Expenses;8.0;6.0;11.0;13.0;None;
OTHER OPERATING EXPENSES TOTAL;432.0;457.0;514.0;533.0;None;
OPERATING INCOME;727.0;489.0;110.0;-116.0;None;
Interest Expense;-16.0;-19.0;-19.0;-24.0;None;
Interest and Investment Income;15.0;21.0;19.0;15.0;None;
NET INTEREST EXPENSE;-1.0;2.0;0.0;-9.0;None;
Income (Loss) on Equity Investments;3.0;7.0;7.0;3.0;None;
Currency Exchange Gains (Loss);12.0;77.0;1.0;39.0;None;
Other Non-Operating Income (Expenses);-13.0;-16.0;22.0;7.0;None;
EBT EXCLUDING UNUSUAL ITEMS;728.0;559.0;140.0;-76.0;None;
Merger & Restructuring Charges;-18.0;-20.0;-19.0;-12.0;None;
Gain (Loss) on Sale of Investments;-1.0;25.0;9.0;1.0;None;
Gain (Loss) on Sale of Assets;-4.0;2.0;-2.0;--;None;
Other Unusual Items Total;4.0;-44.0;-56.0;-492.0;None;
Legal Settlements;-4.0;-5.0;2.0;-1.0;None;
Other Unusual Items;-3.0;-37.0;-57.0;-68.0;None;
EBT INCLUDING UNUSUAL ITEMS;709.0;522.0;72.0;-579.0;None;
Income Tax Expense;255.0;219.0;29.0;-72.0;None;
Minority Interest in Earnings;-126.0;-108.0;-34.0;137.0;None;
Earnings from Continuing Operations;454.0;303.0;43.0;-507.0;None;
NET INCOME;328.0;195.0;9.0;-370.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;328.0;195.0;9.0;-370.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;328.0;195.0;9.0;-370.0;None;
