Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;107.5;179.5;134.3;297.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;107.5;179.5;134.3;297.3;None;
Accounts Receivable;134.7;214.8;247.9;272.7;None;
Other Receivables;39.6;30.5;27.6;43.9;None;
TOTAL RECEIVABLES;174.3;245.3;275.5;316.5;None;
Inventory;8.4;9.9;13.9;20.1;None;
Prepaid Expenses;5.7;7.1;9.6;10.6;None;
Other Current Assets;--;--;2.5;4.4;None;
TOTAL CURRENT ASSETS;295.8;441.9;435.8;649.0;None;
Gross Property Plant and Equipment;367.2;444.7;533.6;678.0;None;
Accumulated Depreciation;-230.1;-281.5;-324.3;-426.9;None;
NET PROPERTY PLANT AND EQUIPMENT;137.1;163.2;209.3;251.1;None;
Goodwill;246.4;379.3;402.7;456.4;None;
Long-Term Investments;2.6;3.6;6.7;5.7;None;
Deferred Tax Assets Long Term;17.3;19.5;26.1;32.8;None;
Other Intangibles;30.2;59.2;69.0;86.4;None;
Other Long-Term Assets;6.8;7.9;11.0;15.7;None;
TOTAL ASSETS;736.2;1074.6;1160.5;1497.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;54.9;75.0;77.8;101.0;None;
Accrued Expenses;72.1;93.8;107.4;124.2;None;
Short-Term Borrowings;11.2;5.7;12.1;4.0;None;
Current Portion of Long-Term Debt/Capital Lease;26.9;28.3;40.0;13.2;None;
Current Portion of Capital Lease Obligations;1.8;1.2;2.0;4.2;None;
Current Income Taxes Payable;8.0;12.0;17.9;20.9;None;
Other Current Liabilities Total;35.5;68.2;55.6;58.7;None;
Unearned Revenue Current;--;--;6.2;16.8;None;
TOTAL CURRENT LIABILITIES;208.6;283.0;317.0;338.7;None;
Long-Term Debt;240.3;410.9;401.6;670.8;None;
Capital Leases;1.8;2.4;1.3;11.2;None;
Minority Interest;5.7;4.9;1.5;7.1;None;
Pension & Other Post-Retirement Benefits;14.3;18.8;27.4;30.7;None;
Deferred Tax Liability Non-Current;11.3;20.9;25.4;29.0;None;
Other Non-Current Liabilities;29.2;18.2;15.8;21.9;None;
TOTAL LIABILITIES;505.5;754.3;788.6;1102.3;None;
Common Stock;1.4;1.4;1.5;1.5;None;
Retained Earnings;57.3;85.5;119.4;154.2;None;
Comprehensive Income and Other;166.2;228.5;249.6;231.9;None;
TOTAL COMMON EQUITY;225.0;315.5;370.5;387.7;None;
TOTAL EQUITY;230.7;320.3;372.0;394.7;None;
TOTAL LIABILITIES AND EQUITY;736.2;1074.6;1160.5;1497.0;None;
