Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;680.3;828.9;1044.0;1225.6;None;
TOTAL REVENUES;680.3;828.9;1044.0;1225.6;None;
Cost of Goods Sold;581.2;681.8;869.6;1020.8;None;
GROSS PROFIT;99.2;147.1;174.3;204.8;None;
Selling General & Admin Expenses Total;2.3;5.3;7.1;11.6;None;
Depreciation & Amortization Total;41.1;45.9;45.4;57.4;None;
Other Operating Expenses;-7.3;--;--;--;None;
OTHER OPERATING EXPENSES TOTAL;36.1;51.3;52.5;68.9;None;
OPERATING INCOME;63.0;95.9;121.9;135.8;None;
Interest Expense;-13.3;-17.1;-20.0;-22.5;None;
Interest and Investment Income;0.9;1.3;1.5;1.1;None;
NET INTEREST EXPENSE;-12.4;-15.8;-18.5;-21.4;None;
Income (Loss) on Equity Investments;0.2;0.3;0.2;0.3;None;
Currency Exchange Gains (Loss);-0.4;-0.6;-0.5;-1.2;None;
EBT EXCLUDING UNUSUAL ITEMS;50.5;79.8;103.0;113.6;None;
Merger & Restructuring Charges;--;-1.4;-1.6;0.7;None;
Impairment of Goodwill;-1.1;--;2.8;-0.1;None;
Gain (Loss) on Sale of Assets;-0.3;--;--;--;None;
Other Unusual Items Total;-12.9;-7.9;-22.6;-25.2;None;
Other Unusual Items;-12.9;-7.9;-22.6;-25.2;None;
EBT INCLUDING UNUSUAL ITEMS;36.2;70.5;81.7;89.1;None;
Income Tax Expense;10.8;13.8;17.8;17.2;None;
Minority Interest in Earnings;-1.9;-1.2;2.0;0.3;None;
Earnings from Continuing Operations;25.3;56.6;63.9;71.9;None;
NET INCOME;23.4;55.4;65.9;72.2;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;23.4;55.4;65.9;72.2;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;23.4;55.4;65.9;72.2;None;
