Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;59.5;136.9;105.1;248.0;None;
Trading Asset Securities;0.0;2.1;0.3;0.6;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;59.5;139.0;105.4;248.6;None;
Accounts Receivable;298.8;244.1;270.9;272.7;None;
Other Receivables;17.4;19.8;32.3;44.3;None;
TOTAL RECEIVABLES;316.2;263.9;303.2;317.0;None;
Inventory;1.4;1.2;0.9;1.3;None;
Prepaid Expenses;3.8;6.6;6.2;5.7;None;
Other Current Assets;--;-0.1;--;--;None;
TOTAL CURRENT ASSETS;381.0;410.6;415.7;572.6;None;
Gross Property Plant and Equipment;3931.1;4269.1;4465.3;5121.0;None;
Accumulated Depreciation;-1400.6;-1620.9;-1577.5;-1862.8;None;
NET PROPERTY PLANT AND EQUIPMENT;2530.5;2648.2;2887.8;3258.2;None;
Goodwill;807.8;807.8;807.8;855.7;None;
Long-Term Investments;233.4;194.2;197.0;264.2;None;
Loans Receivable Long Term;2.6;--;--;1.5;None;
Deferred Tax Assets Long Term;52.6;19.4;23.9;13.0;None;
Other Intangibles;709.2;671.0;638.2;639.8;None;
TOTAL ASSETS;4717.0;4751.2;4970.4;5605.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;41.0;53.2;47.2;64.9;None;
Accrued Expenses;51.4;47.2;43.1;38.3;None;
Short-Term Borrowings;18.2;4.5;17.3;0.1;None;
Current Portion of Long-Term Debt/Capital Lease;14.7;45.3;64.1;36.6;None;
Current Income Taxes Payable;12.6;39.7;6.5;22.4;None;
Other Current Liabilities Total;204.7;91.8;73.1;113.9;None;
Unearned Revenue Current;45.7;44.1;54.4;47.8;None;
TOTAL CURRENT LIABILITIES;388.3;325.8;305.7;324.0;None;
Long-Term Debt;2446.1;2326.2;2426.4;2859.5;None;
Capital Leases;0.1;15.4;--;--;None;
Minority Interest;69.1;77.2;63.2;47.7;None;
Unearned Revenue Non-Current;1.5;--;--;--;None;
Deferred Tax Liability Non-Current;289.5;308.0;324.2;336.2;None;
Other Non-Current Liabilities;79.2;47.0;66.2;102.1;None;
TOTAL LIABILITIES;3204.7;3022.4;3122.5;3621.8;None;
Common Stock;220.1;220.1;220.1;220.1;None;
Additional Paid in Capital;497.1;453.2;453.2;453.2;None;
Comprehensive Income and Other;726.0;978.3;1111.4;1262.2;None;
TOTAL COMMON EQUITY;1443.2;1651.6;1784.7;1935.5;None;
TOTAL EQUITY;1512.3;1728.8;1847.9;1983.2;None;
TOTAL LIABILITIES AND EQUITY;4717.0;4751.2;4970.4;5605.0;None;
