Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1047.2;1168.1;1222.2;1284.1;None;
TOTAL REVENUES;1047.2;1168.1;1222.2;1284.1;None;
Cost of Goods Sold;80.9;88.7;107.1;120.2;None;
GROSS PROFIT;966.3;1079.4;1115.1;1163.9;None;
Selling General & Admin Expenses Total;138.6;153.1;157.8;168.6;None;
Depreciation & Amortization Total;313.4;280.5;308.9;344.6;None;
Other Operating Expenses;-1.2;0.7;7.1;-30.8;None;
OTHER OPERATING EXPENSES TOTAL;450.8;434.3;473.8;482.4;None;
OPERATING INCOME;515.6;645.1;641.3;681.5;None;
Interest Expense;-74.9;-91.6;-112.5;-115.1;None;
Interest and Investment Income;1.5;3.1;3.9;2.5;None;
NET INTEREST EXPENSE;-73.4;-88.5;-108.6;-112.6;None;
Income (Loss) on Equity Investments;17.8;17.8;11.4;14.2;None;
Currency Exchange Gains (Loss);17.3;-13.1;4.0;-1.6;None;
Other Non-Operating Income (Expenses);-44.6;-7.5;-24.9;-3.3;None;
EBT EXCLUDING UNUSUAL ITEMS;432.8;553.8;523.2;578.2;None;
Other Unusual Items Total;-7.0;0.0;--;--;None;
Insurance Settlements;--;235.1;--;--;None;
Other Unusual Items;--;-235.1;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;425.8;553.8;523.2;578.2;None;
Income Tax Expense;143.2;199.0;182.1;208.4;None;
Minority Interest in Earnings;-13.0;-16.3;-15.0;-14.9;None;
Earnings from Continuing Operations;282.5;354.8;341.1;369.8;None;
NET INCOME;269.5;338.5;326.1;354.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;269.5;338.5;326.1;354.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;269.5;338.5;326.1;354.9;None;
