Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;874.0;2402.0;1956.0;2097.0;None;
Short-Term Investments;6.0;8.0;15.0;15.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;880.0;2410.0;1971.0;2112.0;None;
Accounts Receivable;3796.0;4156.0;4094.0;4144.0;None;
Other Receivables;562.0;721.0;862.0;1025.0;None;
TOTAL RECEIVABLES;4358.0;4877.0;4956.0;5169.0;None;
Inventory;457.0;527.0;608.0;556.0;None;
Prepaid Expenses;98.0;122.0;174.0;162.0;None;
Other Current Assets;484.0;284.0;336.0;404.0;None;
TOTAL CURRENT ASSETS;6277.0;8220.0;8045.0;8403.0;None;
Gross Property Plant and Equipment;3325.0;3462.0;3614.0;3745.0;None;
Accumulated Depreciation;-1952.0;-2051.0;-2178.0;-2271.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1373.0;1411.0;1436.0;1474.0;None;
Goodwill;2850.0;2851.0;2850.0;2849.0;None;
Long-Term Investments;1238.0;1170.0;1346.0;1565.0;None;
Loans Receivable Long Term;96.0;123.0;97.0;115.0;None;
Deferred Tax Assets Long Term;683.0;273.0;356.0;303.0;None;
Other Intangibles;13408.0;13049.0;12797.0;12587.0;None;
Other Long-Term Assets;68.0;73.0;75.0;80.0;None;
TOTAL ASSETS;25993.0;27170.0;27002.0;27376.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;3464.0;2765.0;2968.0;3083.0;None;
Accrued Expenses;832.0;916.0;967.0;1026.0;None;
Short-Term Borrowings;320.0;764.0;884.0;1184.0;None;
Current Portion of Long-Term Debt/Capital Lease;1019.0;741.0;574.0;1091.0;None;
Current Portion of Capital Lease Obligations;66.0;61.0;64.0;82.0;None;
Current Income Taxes Payable;82.0;72.0;96.0;74.0;None;
Other Current Liabilities Total;838.0;1783.0;1977.0;1765.0;None;
Unearned Revenue Current;1315.0;1600.0;1493.0;1540.0;None;
TOTAL CURRENT LIABILITIES;7870.0;8641.0;8959.0;9763.0;None;
Long-Term Debt;13377.0;14472.0;14120.0;13056.0;None;
Capital Leases;124.0;135.0;149.0;205.0;None;
Minority Interest;43.0;-1.0;-80.0;4.0;None;
Pension & Other Post-Retirement Benefits;187.0;187.0;246.0;248.0;None;
Deferred Tax Liability Non-Current;1620.0;1070.0;991.0;1063.0;None;
Other Non-Current Liabilities;314.0;318.0;332.0;333.0;None;
TOTAL LIABILITIES;23492.0;24823.0;24797.0;24668.0;None;
Common Stock;360.0;349.0;349.0;358.0;None;
Additional Paid in Capital;236.0;198.0;198.0;249.0;None;
Retained Earnings;232.0;205.0;221.0;257.0;None;
Comprehensive Income and Other;1630.0;1596.0;1517.0;1840.0;None;
TOTAL COMMON EQUITY;2458.0;2348.0;2285.0;2704.0;None;
TOTAL EQUITY;2501.0;2347.0;2205.0;2708.0;None;
TOTAL LIABILITIES AND EQUITY;25993.0;27170.0;27002.0;27376.0;None;
