Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;13553.0;13802.0;14028.0;14272.0;None;
TOTAL REVENUES;13553.0;13802.0;14028.0;14272.0;None;
Cost of Goods Sold;2829.0;2655.0;2743.0;2652.0;None;
GROSS PROFIT;10724.0;11147.0;11285.0;11620.0;None;
Selling General & Admin Expenses Total;8593.0;8818.0;8947.0;9124.0;None;
Depreciation & Amortization Total;811.0;835.0;830.0;845.0;None;
Other Operating Expenses;314.0;390.0;327.0;357.0;None;
OTHER OPERATING EXPENSES TOTAL;9718.0;10043.0;10104.0;10326.0;None;
OPERATING INCOME;1006.0;1104.0;1181.0;1294.0;None;
Interest Expense;-506.0;-666.0;-768.0;-761.0;None;
Interest and Investment Income;26.0;33.0;39.0;34.0;None;
NET INTEREST EXPENSE;-480.0;-633.0;-729.0;-727.0;None;
Income (Loss) on Equity Investments;40.0;1.0;22.0;29.0;None;
Currency Exchange Gains (Loss);-1.0;1.0;13.0;-13.0;None;
Other Non-Operating Income (Expenses);-20.0;-32.0;-43.0;-39.0;None;
EBT EXCLUDING UNUSUAL ITEMS;545.0;441.0;444.0;544.0;None;
Merger & Restructuring Charges;-28.0;-50.0;-40.0;-43.0;None;
Gain (Loss) on Sale of Investments;-2.0;2.0;4.0;1.0;None;
Gain (Loss) on Sale of Assets;1.0;7.0;1.0;-3.0;None;
Other Unusual Items Total;-7.0;-17.0;-18.0;-10.0;None;
Other Unusual Items;-7.0;-17.0;-18.0;-10.0;None;
EBT INCLUDING UNUSUAL ITEMS;509.0;383.0;391.0;489.0;None;
Income Tax Expense;183.0;120.0;133.0;167.0;None;
Minority Interest in Earnings;-94.0;-58.0;-37.0;-65.0;None;
Earnings from Continuing Operations;326.0;263.0;258.0;322.0;None;
NET INCOME;232.0;205.0;221.0;257.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;232.0;205.0;221.0;257.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;232.0;205.0;221.0;257.0;None;
