Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;14489.0;14025.0;15469.0;14647.0;None;
Short-Term Investments;913.0;317.0;1132.0;196.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;15402.0;14342.0;16601.0;14843.0;None;
Accounts Receivable;18159.0;20049.0;19206.0;16984.0;None;
Other Receivables;6634.0;9865.0;8954.0;9673.0;None;
TOTAL RECEIVABLES;24793.0;29914.0;28160.0;26657.0;None;
Inventory;15600.0;18122.0;17397.0;16023.0;None;
Prepaid Expenses;657.0;840.0;1085.0;1075.0;None;
Deferred Tax Assets Current;151.0;--;--;--;None;
Other Current Assets;1603.0;445.0;4274.0;2749.0;None;
TOTAL CURRENT ASSETS;58206.0;63663.0;67517.0;61347.0;None;
Gross Property Plant and Equipment;131920.0;147144.0;156686.0;165875.0;None;
Accumulated Depreciation;-76956.0;-82687.0;-87354.0;-90116.0;None;
NET PROPERTY PLANT AND EQUIPMENT;54964.0;64457.0;69332.0;75759.0;None;
Goodwill;902.0;910.0;889.0;908.0;None;
Long-Term Investments;13723.0;14423.0;12589.0;13434.0;None;
Loans Receivable Long Term;3979.0;4301.0;4567.0;5169.0;None;
Deferred Tax Assets Long Term;1378.0;2070.0;2279.0;2810.0;None;
Other Intangibles;8015.0;11503.0;11969.0;12433.0;None;
Other Long-Term Assets;2551.0;2378.0;2082.0;1631.0;None;
TOTAL ASSETS;143718.0;163705.0;171224.0;173491.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;18450.0;22086.0;21648.0;21958.0;None;
Accrued Expenses;8415.0;9333.0;8794.0;7880.0;None;
Short-Term Borrowings;5867.0;5819.0;6392.0;4191.0;None;
Current Portion of Long-Term Debt/Capital Lease;3798.0;3896.0;4708.0;4153.0;None;
Current Portion of Capital Lease Obligations;23.0;25.0;27.0;29.0;None;
Other Current Liabilities Total;3918.0;5568.0;7482.0;6615.0;None;
TOTAL CURRENT LIABILITIES;40448.0;46702.0;49024.0;44797.0;None;
Long-Term Debt;20608.0;22405.0;21941.0;24789.0;None;
Capital Leases;175.0;152.0;333.0;280.0;None;
Minority Interest;857.0;1352.0;1280.0;2281.0;None;
Pension & Other Post-Retirement Benefits;2171.0;3385.0;3744.0;3071.0;None;
Deferred Tax Liability Non-Current;9947.0;11855.0;12132.0;12943.0;None;
Other Non-Current Liabilities;9098.0;10909.0;11585.0;12701.0;None;
TOTAL LIABILITIES;82447.0;95408.0;98759.0;98581.0;None;
Common Stock;5874.0;5909.0;5915.0;5944.0;None;
Additional Paid in Capital;27208.0;27655.0;27684.0;28020.0;None;
Retained Earnings;33330.0;37775.0;42432.0;46429.0;None;
Treasury Stock;-3503.0;-3390.0;-3342.0;-3379.0;None;
Comprehensive Income and Other;-2495.0;-1004.0;-1504.0;-4385.0;None;
TOTAL COMMON EQUITY;60414.0;66945.0;71185.0;72629.0;None;
TOTAL EQUITY;61271.0;68297.0;72465.0;74910.0;None;
TOTAL LIABILITIES AND EQUITY;143718.0;163705.0;171224.0;173491.0;None;
