Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;140476.0;166550.0;182299.0;171655.0;None;
TOTAL REVENUES;140476.0;166550.0;182299.0;171655.0;None;
Cost of Goods Sold;93293.0;113892.0;126798.0;121113.0;None;
GROSS PROFIT;47183.0;52658.0;55501.0;50542.0;None;
Selling General & Admin Expenses Total;864.0;1019.0;1446.0;1633.0;None;
Depreciation & Amortization Total;7005.0;6725.0;8051.0;8239.0;None;
Other Operating Expenses;19381.0;20236.0;22364.0;21660.0;None;
OTHER OPERATING EXPENSES TOTAL;27250.0;27980.0;31861.0;31532.0;None;
OPERATING INCOME;19933.0;24678.0;23640.0;19010.0;None;
Interest Expense;-465.0;-713.0;-671.0;-670.0;None;
Interest and Investment Income;386.0;603.0;323.0;216.0;None;
NET INTEREST EXPENSE;-79.0;-110.0;-348.0;-454.0;None;
Income (Loss) on Equity Investments;1953.0;1925.0;2010.0;2571.0;None;
Currency Exchange Gains (Loss);--;118.0;26.0;6.0;None;
Other Non-Operating Income (Expenses);59.0;28.0;-49.0;61.0;None;
EBT EXCLUDING UNUSUAL ITEMS;21866.0;26639.0;25279.0;21194.0;None;
Merger & Restructuring Charges;-248.0;-243.0;--;-212.0;None;
Gain (Loss) on Sale of Investments;--;1650.0;1321.0;--;None;
Gain (Loss) on Sale of Assets;1117.0;--;--;68.0;None;
Other Unusual Items Total;-1700.0;-1341.0;-2809.0;-1279.0;None;
Legal Settlements;--;--;-398.0;--;None;
Other Unusual Items;-284.0;-560.0;-937.0;-487.0;None;
EBT INCLUDING UNUSUAL ITEMS;21035.0;26705.0;23791.0;19771.0;None;
Income Tax Expense;10228.0;14091.0;13035.0;11110.0;None;
Minority Interest in Earnings;-236.0;-305.0;-147.0;-221.0;None;
Earnings from Continuing Operations;10807.0;12614.0;10756.0;8661.0;None;
NET INCOME;10571.0;12309.0;10609.0;8440.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;10571.0;12309.0;10609.0;8440.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;10571.0;12309.0;10609.0;8440.0;None;
