Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1316.0;1295.0;1334.0;1510.0;None;
Trading Asset Securities;7.0;9.0;18.0;35.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1323.0;1304.0;1352.0;1545.0;None;
Accounts Receivable;1449.0;1705.0;1517.0;1521.0;None;
Other Receivables;10.0;20.0;48.0;33.0;None;
TOTAL RECEIVABLES;1459.0;1725.0;1565.0;1554.0;None;
Inventory;621.0;765.0;789.0;848.0;None;
Other Current Assets;219.0;315.0;722.0;395.0;None;
TOTAL CURRENT ASSETS;3622.0;4109.0;4428.0;4342.0;None;
Gross Property Plant and Equipment;6840.0;7861.0;7871.0;7935.0;None;
Accumulated Depreciation;-5185.0;-5905.0;-5796.0;-5754.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1655.0;1956.0;2075.0;2181.0;None;
Goodwill;1210.0;1438.0;1327.0;1248.0;None;
Long-Term Investments;109.0;119.0;115.0;159.0;None;
Loans Receivable Long Term;85.0;58.0;3.0;1.0;None;
Deferred Tax Assets Long Term;198.0;223.0;220.0;246.0;None;
Deferred Charges Long Term;388.0;427.0;513.0;638.0;None;
Other Intangibles;156.0;216.0;223.0;212.0;None;
Other Long-Term Assets;17.0;18.0;16.0;15.0;None;
TOTAL ASSETS;7440.0;8564.0;8920.0;9042.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1987.0;2338.0;2209.0;2441.0;None;
Accrued Expenses;--;64.0;54.0;70.0;None;
Short-Term Borrowings;77.0;75.0;73.0;246.0;None;
Current Portion of Long-Term Debt/Capital Lease;505.0;308.0;440.0;110.0;None;
Current Portion of Capital Lease Obligations;4.0;6.0;4.0;3.0;None;
Current Income Taxes Payable;53.0;59.0;40.0;54.0;None;
Other Current Liabilities Total;1082.0;1043.0;1184.0;1087.0;None;
Unearned Revenue Current;9.0;9.0;14.0;13.0;None;
TOTAL CURRENT LIABILITIES;3713.0;3896.0;4014.0;4021.0;None;
Long-Term Debt;1106.0;1499.0;1571.0;1519.0;None;
Capital Leases;4.0;8.0;7.0;8.0;None;
Minority Interest;62.0;144.0;143.0;153.0;None;
Unearned Revenue Non-Current;19.0;23.0;19.0;23.0;None;
Pension & Other Post-Retirement Benefits;--;712.0;864.0;721.0;None;
Deferred Tax Liability Non-Current;22.0;26.0;26.0;26.0;None;
Other Non-Current Liabilities;806.0;320.0;224.0;191.0;None;
TOTAL LIABILITIES;5670.0;6484.0;6725.0;6509.0;None;
Common Stock;236.0;238.0;238.0;238.0;None;
Additional Paid in Capital;1412.0;1429.0;1434.0;1434.0;None;
Retained Earnings;-170.0;39.0;197.0;690.0;None;
Comprehensive Income and Other;230.0;230.0;183.0;18.0;None;
TOTAL COMMON EQUITY;1708.0;1936.0;2052.0;2380.0;None;
TOTAL EQUITY;1770.0;2080.0;2195.0;2533.0;None;
TOTAL LIABILITIES AND EQUITY;7440.0;8564.0;8920.0;9042.0;None;
