Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;9632.0;10868.0;11759.0;12110.0;None;
TOTAL REVENUES;9632.0;10868.0;11759.0;12110.0;None;
Cost of Goods Sold;7897.0;9025.0;9811.0;10037.0;None;
GROSS PROFIT;1735.0;1843.0;1948.0;2073.0;None;
Selling General & Admin Expenses Total;609.0;603.0;658.0;662.0;None;
R&D Expenses;537.0;561.0;587.0;633.0;None;
Other Operating Expenses;-1.0;5.0;--;--;None;
OTHER OPERATING EXPENSES TOTAL;1145.0;1169.0;1245.0;1295.0;None;
OPERATING INCOME;590.0;674.0;703.0;778.0;None;
Interest Expense;-83.0;-90.0;-117.0;-108.0;None;
Interest and Investment Income;16.0;19.0;14.0;8.0;None;
NET INTEREST EXPENSE;-67.0;-71.0;-103.0;-100.0;None;
Income (Loss) on Equity Investments;-1.0;2.0;14.0;7.0;None;
Currency Exchange Gains (Loss);-2.0;-5.0;-7.0;-15.0;None;
Other Non-Operating Income (Expenses);-2.0;-5.0;1.0;-5.0;None;
EBT EXCLUDING UNUSUAL ITEMS;518.0;595.0;608.0;665.0;None;
Merger & Restructuring Charges;-18.0;1.0;-11.0;-16.0;None;
Gain (Loss) on Sale of Investments;--;28.0;30.0;--;None;
Gain (Loss) on Sale of Assets;7.0;--;-49.0;-28.0;None;
Other Unusual Items Total;-17.0;-24.0;-34.0;-33.0;None;
Legal Settlements;-8.0;1.0;-19.0;-16.0;None;
Other Unusual Items;--;--;5.0;-7.0;None;
EBT INCLUDING UNUSUAL ITEMS;490.0;600.0;544.0;588.0;None;
Income Tax Expense;104.0;148.0;146.0;119.0;None;
Minority Interest in Earnings;-19.0;-24.0;-25.0;-30.0;None;
Earnings from Continuing Operations;386.0;452.0;398.0;469.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-2.0;-1.0;-2.0;--;None;
NET INCOME;365.0;427.0;371.0;439.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;365.0;427.0;371.0;439.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;367.0;428.0;373.0;439.0;None;
