Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;316.3;275.5;256.2;276.7;None;
Short-Term Investments;0.5;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;316.8;275.5;256.2;276.7;None;
Accounts Receivable;80.4;106.0;121.0;130.6;None;
Other Receivables;56.2;38.4;38.1;25.0;None;
TOTAL RECEIVABLES;136.7;144.4;159.1;155.6;None;
Inventory;1.4;2.3;3.3;3.6;None;
Prepaid Expenses;6.2;6.3;5.3;5.5;None;
TOTAL CURRENT ASSETS;461.1;428.5;423.9;441.4;None;
Gross Property Plant and Equipment;14071.7;14111.7;14280.6;14314.2;None;
Accumulated Depreciation;-7380.4;-7484.8;-7632.9;-7785.2;None;
NET PROPERTY PLANT AND EQUIPMENT;6691.2;6626.8;6647.7;6529.0;None;
Goodwill;16.5;17.0;17.4;17.0;None;
Long-Term Investments;2.3;133.5;155.2;158.1;None;
Deferred Tax Assets Long Term;--;--;--;127.5;None;
Other Intangibles;12.7;12.0;11.1;9.8;None;
TOTAL ASSETS;7183.8;7217.7;7255.2;7282.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;72.3;79.5;90.6;90.3;None;
Accrued Expenses;--;62.4;69.2;62.4;None;
Current Portion of Long-Term Debt/Capital Lease;4.8;5.1;53.8;39.5;None;
Current Portion of Capital Lease Obligations;--;--;1.0;0.6;None;
Current Income Taxes Payable;53.2;--;--;--;None;
Other Current Liabilities Total;33.4;23.5;22.4;22.4;None;
Unearned Revenue Current;22.8;21.1;24.2;27.7;None;
TOTAL CURRENT LIABILITIES;186.5;191.6;260.3;242.3;None;
Long-Term Debt;4146.1;4599.5;4785.2;4511.8;None;
Capital Leases;--;--;5.1;5.1;None;
Minority Interest;--;--;--;0.0;None;
Pension & Other Post-Retirement Benefits;29.8;26.2;50.5;43.2;None;
Other Non-Current Liabilities;1.0;--;--;--;None;
TOTAL LIABILITIES;4363.4;4817.3;5101.1;4802.4;None;
Common Stock;213.7;224.2;220.0;220.0;None;
Additional Paid in Capital;1812.3;1769.9;1711.8;1711.8;None;
Retained Earnings;-56.8;11.3;31.7;101.4;None;
Comprehensive Income and Other;851.2;395.0;190.6;447.4;None;
TOTAL COMMON EQUITY;2820.4;2400.4;2154.1;2480.6;None;
TOTAL EQUITY;2820.4;2400.4;2154.1;2480.6;None;
TOTAL LIABILITIES AND EQUITY;7183.8;7217.7;7255.2;7282.9;None;
