Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;736.6;844.8;993.1;1092.0;None;
TOTAL REVENUES;736.6;844.8;993.1;1092.0;None;
Cost of Goods Sold;400.6;450.9;564.2;642.9;None;
GROSS PROFIT;336.0;393.9;428.9;449.1;None;
Depreciation & Amortization Total;156.2;156.1;161.4;164.4;None;
Other Operating Expenses;-2.5;-5.5;5.1;1.3;None;
OTHER OPERATING EXPENSES TOTAL;153.7;150.6;166.5;165.8;None;
OPERATING INCOME;182.3;243.3;262.4;283.3;None;
Interest Expense;-152.6;-206.8;-230.4;-241.0;None;
Interest and Investment Income;6.9;4.5;9.1;8.6;None;
NET INTEREST EXPENSE;-145.7;-202.3;-221.3;-232.4;None;
Income (Loss) on Equity Investments;--;--;--;-1.2;None;
Currency Exchange Gains (Loss);1.5;2.8;1.6;-0.8;None;
Other Non-Operating Income (Expenses);-102.0;-60.6;-41.6;-30.2;None;
EBT EXCLUDING UNUSUAL ITEMS;-63.9;-16.9;1.1;18.7;None;
Merger & Restructuring Charges;-1.1;--;--;--;None;
Impairment of Goodwill;12.8;--;--;--;None;
Gain (Loss) on Sale of Assets;-2.8;-0.6;0.8;3.4;None;
Other Unusual Items Total;-1.3;29.2;30.0;-1.7;None;
Insurance Settlements;--;29.2;30.0;--;None;
Other Unusual Items;-1.3;--;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;-56.4;11.8;31.9;20.4;None;
Income Tax Expense;0.4;0.5;0.2;-80.9;None;
Minority Interest in Earnings;0.0;--;--;0.0;None;
Earnings from Continuing Operations;-56.8;11.3;31.7;101.4;None;
NET INCOME;-56.8;11.3;31.7;101.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-56.8;11.3;31.7;101.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-56.8;11.3;31.7;101.4;None;
