Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;24.6;42.9;1.2;12.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;24.6;42.9;1.2;12.3;None;
Accounts Receivable;65.6;62.6;68.1;89.1;None;
Other Receivables;51.3;45.4;36.3;23.3;None;
TOTAL RECEIVABLES;116.9;108.0;104.4;112.4;None;
Other Current Assets;694.3;875.2;481.8;286.9;None;
TOTAL CURRENT ASSETS;835.7;1026.1;587.4;411.5;None;
Gross Property Plant and Equipment;11033.4;10974.1;10590.6;10577.9;None;
Accumulated Depreciation;-12.4;-15.2;-18.0;-20.3;None;
NET PROPERTY PLANT AND EQUIPMENT;11021.0;10959.0;10572.7;10557.6;None;
Deferred Tax Assets Long Term;1.2;13.5;--;0.4;None;
Other Intangibles;3.9;4.6;5.1;3.4;None;
Other Long-Term Assets;51.7;72.9;12.3;17.6;None;
TOTAL ASSETS;11918.3;12027.5;11188.1;10999.5;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;31.2;27.3;24.6;24.3;None;
Accrued Expenses;57.7;60.7;--;--;None;
Short-Term Borrowings;--;--;--;530.0;None;
Current Portion of Capital Lease Obligations;--;--;--;15.2;None;
Current Income Taxes Payable;--;--;53.6;45.9;None;
Other Current Liabilities Total;226.8;241.3;225.8;234.9;None;
Unearned Revenue Current;1.6;3.4;3.9;5.7;None;
TOTAL CURRENT LIABILITIES;696.3;1328.8;1071.4;1479.1;None;
Long-Term Debt;4996.4;4321.1;3883.9;3086.2;None;
Capital Leases;--;--;--;154.2;None;
Minority Interest;45.8;43.9;0.0;0.0;None;
Pension & Other Post-Retirement Benefits;10.2;7.7;10.5;12.5;None;
Deferred Tax Liability Non-Current;23.1;14.6;3.1;5.5;None;
Other Non-Current Liabilities;44.7;47.2;37.0;16.4;None;
TOTAL LIABILITIES;5770.7;5719.4;5005.9;4753.9;None;
Common Stock;469.6;469.9;470.8;471.5;None;
Additional Paid in Capital;1868.1;1870.4;1886.4;1877.4;None;
Retained Earnings;998.2;411.2;225.5;314.0;None;
Comprehensive Income and Other;2765.8;3512.6;3599.5;3582.5;None;
TOTAL COMMON EQUITY;6101.8;6264.2;6182.2;6245.5;None;
TOTAL EQUITY;6147.6;6308.1;6182.2;6245.5;None;
TOTAL LIABILITIES AND EQUITY;11918.3;12027.5;11188.1;10999.5;None;
