Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;-16.5;8.5;10.5;7.7;None;
TOTAL REVENUES;694.9;735.7;678.1;686.1;None;
Cost of Goods Sold;155.5;156.6;137.2;140.0;None;
GROSS PROFIT;539.4;579.0;541.0;546.1;None;
Selling General & Admin Expenses Total;79.8;75.9;64.4;65.7;None;
Depreciation & Amortization Total;4.1;4.6;5.2;5.4;None;
OPERATING INCOME;455.5;498.5;471.4;475.0;None;
Interest Expense;-157.9;-191.5;-176.2;-165.4;None;
Interest and Investment Income;2.0;0.5;--;0.6;None;
NET INTEREST EXPENSE;-155.9;-191.0;-176.2;-164.8;None;
Currency Exchange Gains (Loss);-0.3;-0.9;--;0.0;None;
Other Non-Operating Income (Expenses);-136.2;-108.3;-154.5;29.9;None;
Gain (Loss) on Sale of Assets;43.8;15.5;36.1;46.2;None;
Other Unusual Items Total;767.4;137.7;70.3;-49.7;None;
EBT INCLUDING UNUSUAL ITEMS;974.3;351.6;247.2;336.4;None;
Income Tax Expense;-41.5;-60.0;-1.3;8.7;None;
Minority Interest in Earnings;-17.6;-0.4;7.1;-13.7;None;
Earnings from Continuing Operations;1015.8;411.6;248.5;327.7;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;-30.0;--;None;
NET INCOME;998.2;411.2;225.5;314.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;998.2;411.2;225.5;314.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;998.2;411.2;255.5;314.0;None;
