Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;27.0;38.0;55.7;61.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;27.0;38.0;55.7;61.8;None;
Accounts Receivable;42.3;50.9;59.7;62.8;None;
Other Receivables;9.1;8.7;15.4;15.4;None;
TOTAL RECEIVABLES;51.4;59.5;75.1;78.2;None;
Prepaid Expenses;1.0;1.1;1.4;2.6;None;
Other Current Assets;0.5;3.4;3.7;2.5;None;
TOTAL CURRENT ASSETS;80.0;102.1;135.8;145.2;None;
Gross Property Plant and Equipment;18.7;22.6;26.9;37.1;None;
Accumulated Depreciation;-12.7;-15.1;-17.8;-20.7;None;
NET PROPERTY PLANT AND EQUIPMENT;6.0;7.5;9.1;16.4;None;
Long-Term Investments;0.0;--;--;--;None;
Deferred Tax Assets Long Term;1.8;11.4;12.9;11.2;None;
Deferred Charges Long Term;3.6;4.9;1.3;1.3;None;
Other Intangibles;4.6;1.0;1.1;0.5;None;
Other Long-Term Assets;10.9;11.7;14.7;13.1;None;
TOTAL ASSETS;106.9;138.5;175.0;187.7;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;11.0;13.4;19.0;24.7;None;
Accrued Expenses;5.8;6.5;8.1;8.3;None;
Short-Term Borrowings;1.9;1.1;0.0;1.5;None;
Current Income Taxes Payable;3.5;4.6;6.6;6.3;None;
Other Current Liabilities Total;4.5;5.5;8.1;5.6;None;
Unearned Revenue Current;0.1;1.3;0.8;0.8;None;
TOTAL CURRENT LIABILITIES;26.8;32.5;42.6;47.1;None;
Pension & Other Post-Retirement Benefits;0.2;0.3;--;--;None;
Deferred Tax Liability Non-Current;1.9;2.6;3.8;3.6;None;
Other Non-Current Liabilities;0.2;0.2;0.6;0.7;None;
TOTAL LIABILITIES;29.1;35.6;47.0;51.4;None;
Common Stock;3.8;3.9;4.1;4.2;None;
Additional Paid in Capital;67.5;71.6;85.7;88.6;None;
Retained Earnings;13.6;18.2;9.3;7.5;None;
Comprehensive Income and Other;-7.0;9.2;28.9;36.0;None;
TOTAL COMMON EQUITY;77.8;102.9;128.0;136.3;None;
TOTAL EQUITY;77.8;102.9;128.0;136.3;None;
TOTAL LIABILITIES AND EQUITY;106.9;138.5;175.0;187.7;None;
