Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;151.1;164.4;208.3;233.3;None;
TOTAL REVENUES;151.1;164.4;208.3;233.3;None;
Cost of Goods Sold;19.4;19.4;32.7;40.1;None;
GROSS PROFIT;131.7;145.0;175.6;193.2;None;
Selling General & Admin Expenses Total;38.1;43.6;53.1;57.7;None;
R&D Expenses;75.3;76.7;103.8;108.2;None;
Other Operating Expenses;3.5;2.9;1.5;2.2;None;
OTHER OPERATING EXPENSES TOTAL;116.9;123.2;158.4;168.1;None;
OPERATING INCOME;14.9;21.8;17.2;25.0;None;
Interest Expense;-0.1;-0.1;-0.1;-0.1;None;
Interest and Investment Income;0.2;0.5;1.5;2.2;None;
NET INTEREST EXPENSE;0.1;0.4;1.3;2.1;None;
Currency Exchange Gains (Loss);1.2;-1.5;-1.9;-9.6;None;
Other Non-Operating Income (Expenses);0.0;0.0;0.0;--;None;
EBT EXCLUDING UNUSUAL ITEMS;16.2;20.6;16.7;17.5;None;
Merger & Restructuring Charges;--;--;-1.6;-1.0;None;
Gain (Loss) on Sale of Assets;-0.2;-0.2;-0.3;-0.4;None;
Other Unusual Items Total;-0.2;-7.1;-0.4;-0.1;None;
Legal Settlements;--;--;--;0.0;None;
Other Unusual Items;-0.2;--;--;0.0;None;
EBT INCLUDING UNUSUAL ITEMS;15.8;13.4;14.3;16.1;None;
Income Tax Expense;2.2;-4.8;5.0;8.5;None;
Earnings from Continuing Operations;13.6;18.2;9.3;7.5;None;
NET INCOME;13.6;18.2;9.3;7.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;13.6;18.2;9.3;7.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;13.6;18.2;9.3;7.5;None;
