Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2525.0;2684.0;2595.0;2740.0;None;
Trading Asset Securities;417859.0;391723.0;450843.0;430011.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;461561.0;478700.0;511301.0;484003.0;None;
Other Receivables;32373.0;33493.0;38947.0;50438.0;None;
TOTAL RECEIVABLES;32373.0;33493.0;38947.0;50438.0;None;
Prepaid Expenses;845.0;746.0;607.0;564.0;None;
Restricted Cash;11556.0;41279.0;64996.0;63862.0;None;
Other Current Assets;13023.0;14777.0;24406.0;31830.0;None;
TOTAL CURRENT ASSETS;520213.0;569996.0;641378.0;631744.0;None;
Gross Property Plant and Equipment;22806.0;24039.0;24989.0;25972.0;None;
Accumulated Depreciation;-8967.0;-9228.0;-9870.0;-10498.0;None;
NET PROPERTY PLANT AND EQUIPMENT;13839.0;14811.0;15119.0;15474.0;None;
Goodwill;7431.0;6973.0;5320.0;4972.0;None;
Deferred Tax Assets Long Term;4867.0;4582.0;5365.0;6096.0;None;
Other Intangibles;1524.0;1679.0;1651.0;1633.0;None;
Other Long-Term Assets;27703.0;40219.0;36605.0;34553.0;None;
TOTAL ASSETS;1132072.0;1181372.0;1250889.0;1235262.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;19827.0;--;19491.0;22488.0;None;
Accrued Expenses;4485.0;4263.0;4558.0;3856.0;None;
Short-Term Borrowings;248079.0;330297.0;299620.0;231034.0;None;
Current Portion of Long-Term Debt/Capital Lease;--;--;--;542.0;None;
Current Income Taxes Payable;813.0;756.0;711.0;1275.0;None;
Other Current Liabilities Total;151106.0;138573.0;185232.0;276867.0;None;
Unearned Revenue Current;--;--;--;1713.0;None;
TOTAL CURRENT LIABILITIES;750361.0;776149.0;834644.0;875421.0;None;
Long-Term Debt;201002.0;194091.0;214710.0;187845.0;None;
Minority Interest;4554.0;4045.0;4272.0;3093.0;None;
Unearned Revenue Non-Current;1600.0;1716.0;1803.0;--;None;
Pension & Other Post-Retirement Benefits;781.0;1112.0;1739.0;1651.0;None;
Deferred Tax Liability Non-Current;530.0;439.0;439.0;364.0;None;
Other Non-Current Liabilities;126823.0;156753.0;144003.0;115880.0;None;
TOTAL LIABILITIES;1081097.0;1130260.0;1197338.0;1181161.0;None;
Common Stock;933.0;970.0;975.0;998.0;None;
Additional Paid in Capital;17974.0;19203.0;19411.0;19947.0;None;
Retained Earnings;22023.0;23001.0;790.0;2175.0;None;
Treasury Stock;-1335.0;-1265.0;-971.0;-639.0;None;
Comprehensive Income and Other;6826.0;5158.0;29074.0;28527.0;None;
TOTAL COMMON EQUITY;46421.0;47067.0;49279.0;51008.0;None;
TOTAL EQUITY;50975.0;51112.0;53551.0;54101.0;None;
TOTAL LIABILITIES AND EQUITY;1132072.0;1181372.0;1250889.0;1235262.0;None;
