Millions of Euros;2010;2011;2012;2013;Trend;
TOTAL REVENUES;22258.0;25688.0;24077.0;23733.0;None;
GROSS PROFIT;22258.0;25688.0;24077.0;23733.0;None;
Selling General & Admin Expenses Total;16545.0;14969.0;21020.0;20481.0;None;
EBT EXCLUDING UNUSUAL ITEMS;5843.0;4376.0;2707.0;3980.0;None;
Impairment of Goodwill;1.0;-265.0;-842.0;-50.0;None;
Other Unusual Items Total;--;--;-300.0;-872.0;None;
Legal Settlements;--;--;-300.0;-846.0;None;
EBT INCLUDING UNUSUAL ITEMS;5844.0;4111.0;1565.0;3058.0;None;
Income Tax Expense;1542.0;1323.0;341.0;533.0;None;
Minority Interest in Earnings;-385.0;-403.0;-434.0;-350.0;None;
Earnings from Continuing Operations;4302.0;2788.0;1224.0;2525.0;None;
NET INCOME;3917.0;2385.0;790.0;2175.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;3581.0;2363.0;499.0;1840.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;3581.0;2363.0;499.0;1840.0;None;
