Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;13.9;12.8;6.3;20.9;None;
Short-Term Investments;--;0.0;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;13.9;12.8;6.3;20.9;None;
Accounts Receivable;0.1;0.7;0.1;0.2;None;
Notes Receivable;--;--;0.0;0.0;None;
Other Receivables;4.7;4.8;3.9;4.8;None;
TOTAL RECEIVABLES;4.8;5.5;4.0;5.0;None;
Inventory;0.2;0.2;0.2;0.2;None;
Prepaid Expenses;0.8;0.7;0.7;1.0;None;
Other Current Assets;0.0;--;0.0;0.0;None;
TOTAL CURRENT ASSETS;19.7;19.2;11.2;27.1;None;
Gross Property Plant and Equipment;16.3;16.3;15.0;6.4;None;
Accumulated Depreciation;-7.9;-8.7;-5.6;-5.4;None;
NET PROPERTY PLANT AND EQUIPMENT;8.4;7.6;9.4;1.0;None;
Goodwill;0.1;0.1;0.1;0.1;None;
Loans Receivable Long Term;0.2;0.2;0.2;0.2;None;
Deferred Tax Assets Long Term;1.9;--;2.3;--;None;
Other Intangibles;0.1;0.1;0.0;0.1;None;
Other Long-Term Assets;1.1;1.9;0.4;0.7;None;
TOTAL ASSETS;31.4;29.1;23.6;29.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;4.1;4.0;2.9;5.5;None;
Accrued Expenses;1.4;1.4;1.3;1.3;None;
Short-Term Borrowings;0.0;--;0.0;0.0;None;
Current Portion of Long-Term Debt/Capital Lease;4.9;3.1;1.8;0.7;None;
Current Portion of Capital Lease Obligations;0.8;0.8;0.1;0.0;None;
Current Income Taxes Payable;0.1;0.2;0.1;0.2;None;
Other Current Liabilities Total;0.3;0.8;1.4;1.3;None;
Unearned Revenue Current;0.9;1.4;0.9;0.2;None;
TOTAL CURRENT LIABILITIES;11.8;10.9;8.5;9.1;None;
Long-Term Debt;2.6;3.2;2.5;1.4;None;
Capital Leases;1.9;1.1;0.1;0.0;None;
Unearned Revenue Non-Current;2.8;3.3;0.3;0.0;None;
Pension & Other Post-Retirement Benefits;0.2;0.3;0.4;0.4;None;
Other Non-Current Liabilities;3.8;5.9;5.1;4.1;None;
TOTAL LIABILITIES;23.0;24.6;16.7;15.1;None;
Common Stock;2.9;3.4;4.0;5.1;None;
Additional Paid in Capital;16.3;21.4;25.5;44.3;None;
Retained Earnings;-9.4;-9.7;-5.4;-12.7;None;
Comprehensive Income and Other;-1.4;-10.7;-17.3;-22.7;None;
TOTAL COMMON EQUITY;8.4;4.5;6.8;14.1;None;
TOTAL EQUITY;8.4;4.5;6.8;14.1;None;
TOTAL LIABILITIES AND EQUITY;31.4;29.1;23.6;29.2;None;
