Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3.8;2.4;1.7;1.9;None;
Other Revenues;3.9;4.4;4.3;3.9;None;
TOTAL REVENUES;7.6;6.8;6.0;5.8;None;
Cost of Goods Sold;4.9;5.9;5.7;6.6;None;
GROSS PROFIT;2.7;0.9;0.3;-0.8;None;
Selling General & Admin Expenses Total;6.9;6.0;5.5;6.5;None;
Depreciation & Amortization Total;0.9;0.8;0.5;0.5;None;
Other Operating Expenses;2.5;1.8;1.9;2.6;None;
OTHER OPERATING EXPENSES TOTAL;10.4;8.6;8.0;9.6;None;
OPERATING INCOME;-7.7;-7.7;-7.7;-10.4;None;
Interest Expense;-0.3;-0.3;-0.3;-0.1;None;
Interest and Investment Income;0.1;0.2;0.2;0.2;None;
NET INTEREST EXPENSE;-0.2;-0.1;-0.1;0.1;None;
Currency Exchange Gains (Loss);0.0;0.0;0.0;0.0;None;
Other Non-Operating Income (Expenses);0.1;0.1;0.0;0.1;None;
EBT EXCLUDING UNUSUAL ITEMS;-7.8;-7.8;-7.7;-10.2;None;
Gain (Loss) on Sale of Assets;0.0;0.0;0.0;-0.1;None;
EBT INCLUDING UNUSUAL ITEMS;-7.8;-7.8;-7.7;-10.3;None;
Income Tax Expense;1.5;1.9;-2.3;2.3;None;
Earnings from Continuing Operations;-9.4;-9.7;-5.4;-12.7;None;
NET INCOME;-9.4;-9.7;-5.4;-12.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-9.4;-9.7;-5.4;-12.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-9.4;-9.7;-5.4;-12.7;None;
