Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;11296.0;14675.0;11383.0;8691.0;None;
Trading Asset Securities;7295.0;7883.0;4535.0;4560.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;18591.0;22558.0;15918.0;13251.0;None;
Accounts Receivable;20699.0;23267.0;25196.0;21451.0;None;
Notes Receivable;231.0;554.0;543.0;402.0;None;
Other Receivables;603.0;625.0;925.0;543.0;None;
TOTAL RECEIVABLES;21533.0;24446.0;26664.0;22396.0;None;
Inventory;3870.0;5435.0;5423.0;5070.0;None;
Other Current Assets;7114.0;11069.0;12334.0;12119.0;None;
TOTAL CURRENT ASSETS;51108.0;63508.0;60339.0;52836.0;None;
Gross Property Plant and Equipment;111823.0;128269.0;130624.0;112323.0;None;
Accumulated Depreciation;-32848.0;-37749.0;-43418.0;-46687.0;None;
NET PROPERTY PLANT AND EQUIPMENT;78975.0;90520.0;87206.0;65636.0;None;
Goodwill;27933.0;31362.0;30035.0;20697.0;None;
Long-Term Investments;7764.0;8829.0;9467.0;10002.0;None;
Accounts Receivable Long Term;389.0;1464.0;1468.0;1066.0;None;
Loans Receivable Long Term;932.0;875.0;805.0;490.0;None;
Deferred Tax Assets Long Term;1909.0;1379.0;1487.0;662.0;None;
Other Intangibles;12780.0;13226.0;13020.0;7286.0;None;
Other Long-Term Assets;2640.0;2247.0;1621.0;936.0;None;
TOTAL ASSETS;184430.0;213410.0;205448.0;159611.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;13458.0;16780.0;17981.0;15788.0;None;
Short-Term Borrowings;5569.0;5425.0;6704.0;5760.0;None;
Current Portion of Capital Lease Obligations;243.0;139.0;447.0;105.0;None;
Other Current Liabilities Total;22299.0;25776.0;26305.0;22883.0;None;
TOTAL CURRENT LIABILITIES;44973.0;56100.0;56302.0;49329.0;None;
Long-Term Debt;37106.0;42201.0;44559.0;29364.0;None;
Capital Leases;1258.0;1250.0;913.0;399.0;None;
Minority Interest;8513.0;17340.0;11468.0;5535.0;None;
Deferred Tax Liability Non-Current;12437.0;13038.0;11959.0;9792.0;None;
Other Non-Current Liabilities;18029.0;20551.0;20412.0;17237.0;None;
TOTAL LIABILITIES;113803.0;133140.0;134145.0;106121.0;None;
Common Stock;2250.0;2253.0;2413.0;2413.0;None;
Additional Paid in Capital;29683.0;29716.0;32207.0;32207.0;None;
Treasury Stock;-665.0;-930.0;-1206.0;-1109.0;None;
Comprehensive Income and Other;30846.0;31891.0;26421.0;14444.0;None;
TOTAL COMMON EQUITY;62114.0;62930.0;59835.0;47955.0;None;
TOTAL EQUITY;70627.0;80270.0;71303.0;53490.0;None;
TOTAL LIABILITIES AND EQUITY;184430.0;213410.0;205448.0;159611.0;None;
