Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;84478.0;90673.0;97038.0;89300.0;None;
TOTAL REVENUES;84478.0;90673.0;97038.0;89300.0;None;
Cost of Goods Sold;44672.0;46695.0;52177.0;51216.0;None;
GROSS PROFIT;39806.0;43978.0;44861.0;38084.0;None;
Selling General & Admin Expenses Total;11758.0;12527.0;13439.0;11875.0;None;
Depreciation & Amortization Total;5899.0;7115.0;7113.0;6600.0;None;
Other Operating Expenses;24993.0;27492.0;28319.0;23733.0;None;
OTHER OPERATING EXPENSES TOTAL;25114.0;27637.0;28433.0;23826.0;None;
OPERATING INCOME;8793.0;9226.0;9315.0;7658.0;None;
Interest Expense;-1818.0;-2215.0;-2191.0;-1614.0;None;
Interest and Investment Income;199.0;260.0;354.0;285.0;None;
NET INTEREST EXPENSE;-1619.0;-1955.0;-1837.0;-1329.0;None;
Income (Loss) on Equity Investments;264.0;462.0;433.0;490.0;None;
Currency Exchange Gains (Loss);-27.0;-57.0;-38.0;-19.0;None;
Other Non-Operating Income (Expenses);-733.0;-901.0;-612.0;-315.0;None;
Merger & Restructuring Charges;-206.0;-189.0;-342.0;-305.0;None;
Gain (Loss) on Sale of Investments;1332.0;1633.0;112.0;457.0;None;
Gain (Loss) on Sale of Assets;--;50.0;135.0;--;None;
Other Unusual Items Total;-265.0;-729.0;-2374.0;-14819.0;None;
Legal Settlements;--;--;233.0;--;None;
Other Unusual Items;1203.0;-197.0;-133.0;124.0;None;
EBT INCLUDING UNUSUAL ITEMS;7539.0;7540.0;4792.0;-8182.0;None;
Income Tax Expense;1913.0;2119.0;2049.0;727.0;None;
Minority Interest in Earnings;-1010.0;-1418.0;-1199.0;-380.0;None;
Earnings from Continuing Operations;5626.0;5421.0;2743.0;-8909.0;None;
NET INCOME;4616.0;4003.0;1544.0;-9289.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;4616.0;4003.0;1544.0;-9289.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;4616.0;4003.0;1544.0;-9289.0;None;
