Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;256.1;330.4;358.6;456.4;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;256.1;330.4;358.6;456.4;None;
Accounts Receivable;537.1;558.8;527.7;607.7;None;
Other Receivables;--;--;91.5;95.7;None;
TOTAL RECEIVABLES;537.1;558.8;619.2;703.4;None;
Inventory;155.3;172.7;185.5;204.4;None;
Prepaid Expenses;--;--;23.7;22.5;None;
Other Current Assets;65.1;10.1;42.5;33.3;None;
TOTAL CURRENT ASSETS;1013.6;1071.9;1229.4;1420.0;None;
Gross Property Plant and Equipment;--;--;786.6;785.3;None;
Accumulated Depreciation;--;--;-549.2;-548.0;None;
NET PROPERTY PLANT AND EQUIPMENT;217.2;222.9;237.4;237.3;None;
Goodwill;799.0;813.0;852.2;850.6;None;
Long-Term Investments;12.6;13.8;25.7;49.0;None;
Deferred Tax Assets Long Term;51.3;89.7;108.0;101.3;None;
Other Intangibles;152.6;159.2;198.7;202.6;None;
Other Long-Term Assets;40.8;51.0;63.2;58.4;None;
TOTAL ASSETS;2287.1;2421.5;2714.7;2919.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;463.1;467.2;207.6;247.1;None;
Accrued Expenses;--;--;276.6;255.7;None;
Short-Term Borrowings;--;--;2.7;1.7;None;
Current Portion of Long-Term Debt/Capital Lease;5.4;15.3;3.9;2.1;None;
Current Portion of Capital Lease Obligations;--;--;2.5;2.1;None;
Current Income Taxes Payable;15.8;22.3;23.2;32.5;None;
Other Current Liabilities Total;42.4;29.0;16.6;18.0;None;
Unearned Revenue Current;--;--;51.4;52.7;None;
TOTAL CURRENT LIABILITIES;526.7;533.8;582.0;609.7;None;
Long-Term Debt;14.8;5.8;1.6;2.7;None;
Capital Leases;--;--;2.1;0.4;None;
Minority Interest;14.8;4.2;10.6;5.1;None;
Unearned Revenue Non-Current;--;--;3.1;0.3;None;
Pension & Other Post-Retirement Benefits;43.6;51.5;80.0;83.0;None;
Deferred Tax Liability Non-Current;19.2;23.8;32.0;25.5;None;
Other Non-Current Liabilities;72.5;85.9;81.6;44.2;None;
TOTAL LIABILITIES;676.7;700.8;782.4;765.7;None;
Common Stock;88.0;88.0;88.0;88.0;None;
Additional Paid in Capital;1209.4;1209.2;1207.2;1220.8;None;
Retained Earnings;344.3;480.7;654.8;883.5;None;
Treasury Stock;-132.0;-156.5;-151.8;-106.9;None;
Comprehensive Income and Other;85.8;95.1;123.5;62.9;None;
TOTAL COMMON EQUITY;1595.6;1716.5;1921.7;2148.4;None;
TOTAL EQUITY;1610.3;1720.7;1932.3;2153.5;None;
TOTAL LIABILITIES AND EQUITY;2287.1;2421.5;2714.7;2919.2;None;
