Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1905.6;2015.4;2245.5;2388.6;None;
TOTAL REVENUES;1905.6;2015.4;2245.5;2388.6;None;
Cost of Goods Sold;1218.7;1266.8;1387.6;1459.5;None;
GROSS PROFIT;686.8;748.6;857.9;929.1;None;
Selling General & Admin Expenses Total;395.2;426.2;464.2;472.0;None;
R&D Expenses;104.6;118.1;141.1;143.4;None;
Depreciation & Amortization Total;22.8;24.8;21.0;26.9;None;
Other Operating Expenses;-8.4;0.0;--;2.7;None;
OTHER OPERATING EXPENSES TOTAL;514.2;569.1;626.3;645.1;None;
OPERATING INCOME;172.7;179.5;231.6;284.0;None;
Interest Expense;--;--;-4.5;-4.2;None;
Interest and Investment Income;0.8;--;3.5;3.3;None;
NET INTEREST EXPENSE;0.8;--;-1.0;-0.9;None;
Income (Loss) on Equity Investments;1.7;5.7;1.8;-2.3;None;
Currency Exchange Gains (Loss);--;-7.0;-4.7;-10.8;None;
Other Non-Operating Income (Expenses);--;-5.5;-5.7;5.0;None;
EBT EXCLUDING UNUSUAL ITEMS;175.2;172.7;222.0;275.0;None;
Merger & Restructuring Charges;-9.3;-15.4;-7.9;-3.5;None;
Gain (Loss) on Sale of Investments;--;19.2;5.6;--;None;
Gain (Loss) on Sale of Assets;--;--;--;1.1;None;
Other Unusual Items Total;--;--;9.5;20.8;None;
Other Unusual Items;--;--;9.0;20.0;None;
EBT INCLUDING UNUSUAL ITEMS;165.9;176.6;229.1;293.4;None;
Income Tax Expense;-3.9;13.7;28.2;35.2;None;
Minority Interest in Earnings;-3.5;-1.3;0.1;-0.3;None;
Earnings from Continuing Operations;169.8;162.9;200.9;258.2;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-2.4;-1.6;--;--;None;
NET INCOME;163.9;160.1;201.0;257.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;163.9;160.1;201.0;257.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;166.3;161.7;201.0;257.9;None;
