Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;84.8;55.4;72.7;87.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;84.8;55.4;72.7;87.2;None;
Accounts Receivable;21.7;23.5;40.7;78.0;None;
Other Receivables;8.0;12.1;19.4;22.7;None;
TOTAL RECEIVABLES;29.7;35.7;60.1;100.6;None;
Prepaid Expenses;0.5;0.4;1.8;2.0;None;
Other Current Assets;--;--;0.0;--;None;
TOTAL CURRENT ASSETS;115.0;91.5;134.6;189.8;None;
Gross Property Plant and Equipment;33.7;35.0;36.7;39.1;None;
Accumulated Depreciation;-19.5;-22.6;-25.5;-28.5;None;
NET PROPERTY PLANT AND EQUIPMENT;14.2;12.4;11.2;10.6;None;
Long-Term Investments;0.7;0.4;5.1;17.8;None;
Loans Receivable Long Term;0.4;0.4;1.1;1.1;None;
Deferred Tax Assets Long Term;0.6;5.3;7.3;2.1;None;
Other Intangibles;0.0;0.1;0.1;0.4;None;
Other Long-Term Assets;0.0;--;0.0;--;None;
TOTAL ASSETS;130.9;110.0;159.3;221.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;7.0;9.9;8.9;15.8;None;
Current Portion of Long-Term Debt/Capital Lease;--;--;--;0.5;None;
Current Income Taxes Payable;10.0;9.0;13.5;24.3;None;
Other Current Liabilities Total;0.3;1.3;1.3;0.9;None;
Unearned Revenue Current;14.6;27.4;60.2;82.2;None;
TOTAL CURRENT LIABILITIES;31.9;47.6;84.0;123.6;None;
Long-Term Debt;2.6;--;2.6;2.2;None;
Other Non-Current Liabilities;27.1;27.6;14.0;9.3;None;
TOTAL LIABILITIES;61.5;75.2;100.6;135.1;None;
Common Stock;0.4;0.4;0.4;0.4;None;
Additional Paid in Capital;1.1;1.1;1.1;1.1;None;
Retained Earnings;23.2;18.4;39.6;118.7;None;
Comprehensive Income and Other;44.8;15.0;17.6;-33.5;None;
TOTAL COMMON EQUITY;69.4;34.8;58.7;86.8;None;
TOTAL EQUITY;69.4;34.8;58.7;86.8;None;
TOTAL LIABILITIES AND EQUITY;130.9;110.0;159.3;221.8;None;
