Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;74.7;55.8;89.5;217.6;None;
TOTAL REVENUES;74.7;55.8;89.5;217.6;None;
Cost of Goods Sold;1.5;1.7;2.2;2.0;None;
GROSS PROFIT;73.2;54.1;87.3;215.6;None;
Selling General & Admin Expenses Total;36.3;36.5;56.5;75.7;None;
Depreciation & Amortization Total;0.1;3.3;2.4;-1.0;None;
Other Operating Expenses;-1.8;0.5;-6.4;0.0;None;
OTHER OPERATING EXPENSES TOTAL;34.6;40.3;52.5;74.8;None;
OPERATING INCOME;38.7;13.8;34.8;140.8;None;
Interest Expense;0.0;0.0;0.0;0.0;None;
Interest and Investment Income;1.2;1.2;1.0;1.5;None;
NET INTEREST EXPENSE;1.1;1.2;1.0;1.5;None;
Currency Exchange Gains (Loss);0.0;0.0;0.0;--;None;
Other Non-Operating Income (Expenses);-0.3;-0.4;-0.3;0.0;None;
EBT EXCLUDING UNUSUAL ITEMS;39.5;14.6;35.5;142.3;None;
Gain (Loss) on Sale of Investments;0.2;0.2;0.0;0.0;None;
Other Unusual Items Total;-9.5;3.4;10.5;-0.4;None;
Legal Settlements;-9.5;3.4;10.5;-0.4;None;
EBT INCLUDING UNUSUAL ITEMS;30.1;18.2;46.0;142.0;None;
Income Tax Expense;7.0;-0.2;6.4;23.2;None;
Earnings from Continuing Operations;23.2;18.4;39.6;118.7;None;
NET INCOME;23.2;18.4;39.6;118.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;23.2;18.4;39.6;118.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;23.2;18.4;39.6;118.7;None;
