Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;961.0;783.0;533.0;568.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;961.0;783.0;533.0;568.0;None;
Accounts Receivable;1415.0;1530.0;1607.0;1650.0;None;
Notes Receivable;4.0;4.0;2.0;2.0;None;
Other Receivables;517.0;524.0;531.0;582.0;None;
TOTAL RECEIVABLES;1936.0;2058.0;2140.0;2234.0;None;
Inventory;37.0;35.0;33.0;36.0;None;
Prepaid Expenses;28.0;31.0;22.0;25.0;None;
Other Current Assets;26.0;36.0;23.0;20.0;None;
TOTAL CURRENT ASSETS;2988.0;2943.0;2751.0;2883.0;None;
Gross Property Plant and Equipment;285.0;--;453.0;461.0;None;
Accumulated Depreciation;-216.0;--;-221.0;-206.0;None;
NET PROPERTY PLANT AND EQUIPMENT;69.0;228.0;232.0;255.0;None;
Goodwill;1494.0;1559.0;1603.0;1593.0;None;
Long-Term Investments;13.0;11.0;28.0;28.0;None;
Loans Receivable Long Term;1.0;1.0;--;3.0;None;
Deferred Tax Assets Long Term;87.0;91.0;87.0;121.0;None;
Other Intangibles;34.0;41.0;37.0;36.0;None;
Other Long-Term Assets;8.0;7.0;--;4.0;None;
TOTAL ASSETS;4694.0;4881.0;4738.0;4923.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1402.0;1480.0;1536.0;1534.0;None;
Accrued Expenses;219.0;160.0;141.0;136.0;None;
Short-Term Borrowings;7.0;6.0;9.0;13.0;None;
Current Portion of Long-Term Debt/Capital Lease;209.0;215.0;285.0;539.0;None;
Current Income Taxes Payable;12.0;14.0;20.0;21.0;None;
Other Current Liabilities Total;869.0;971.0;978.0;1007.0;None;
Unearned Revenue Current;26.0;44.0;36.0;63.0;None;
TOTAL CURRENT LIABILITIES;2744.0;2890.0;3005.0;3313.0;None;
Long-Term Debt;664.0;603.0;504.0;216.0;None;
Minority Interest;3.0;9.0;11.0;9.0;None;
Pension & Other Post-Retirement Benefits;53.0;45.0;55.0;54.0;None;
Deferred Tax Liability Non-Current;9.0;11.0;12.0;43.0;None;
Other Non-Current Liabilities;21.0;21.0;20.0;29.0;None;
TOTAL LIABILITIES;3491.0;3570.0;3596.0;3655.0;None;
Common Stock;172.0;172.0;154.0;164.0;None;
Additional Paid in Capital;1468.0;1470.0;1254.0;1334.0;None;
Comprehensive Income and Other;-440.0;-340.0;-277.0;-239.0;None;
TOTAL COMMON EQUITY;1200.0;1302.0;1131.0;1259.0;None;
TOTAL EQUITY;1203.0;1311.0;1142.0;1268.0;None;
TOTAL LIABILITIES AND EQUITY;4694.0;4881.0;4738.0;4923.0;None;
