Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1558.0;1656.0;1792.0;1772.0;None;
TOTAL REVENUES;1558.0;1656.0;1792.0;1772.0;None;
Cost of Goods Sold;963.0;1011.0;1103.0;1098.0;None;
GROSS PROFIT;595.0;645.0;689.0;674.0;None;
Selling General & Admin Expenses Total;3.0;4.0;--;5.0;None;
Other Operating Expenses;390.7;424.4;450.3;433.2;None;
OTHER OPERATING EXPENSES TOTAL;393.7;428.4;450.3;438.2;None;
OPERATING INCOME;201.3;216.6;238.7;235.8;None;
Interest Expense;-37.0;-42.0;-39.0;-36.0;None;
Interest and Investment Income;9.0;16.0;13.0;9.0;None;
NET INTEREST EXPENSE;-28.0;-26.0;-26.0;-27.0;None;
Income (Loss) on Equity Investments;--;1.0;1.0;2.0;None;
Currency Exchange Gains (Loss);-1.0;-1.0;-1.0;--;None;
Other Non-Operating Income (Expenses);-1.0;-1.0;--;2.0;None;
EBT EXCLUDING UNUSUAL ITEMS;171.3;189.6;212.7;212.8;None;
Merger & Restructuring Charges;-13.5;-23.6;-18.9;-15.8;None;
Impairment of Goodwill;-2.9;-3.0;-2.8;--;None;
Gain (Loss) on Sale of Assets;--;--;-2.0;--;None;
Other Unusual Items Total;-3.9;5.0;5.0;2.0;None;
Other Unusual Items;-1.0;5.0;5.0;2.0;None;
EBT INCLUDING UNUSUAL ITEMS;151.0;168.0;194.0;199.0;None;
Income Tax Expense;36.0;38.0;55.0;56.0;None;
Minority Interest in Earnings;-5.0;-10.0;-13.0;-15.0;None;
Earnings from Continuing Operations;115.0;130.0;139.0;143.0;None;
NET INCOME;110.0;120.0;126.0;128.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;110.0;120.0;126.0;128.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;110.0;120.0;126.0;128.0;None;
