Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2750.5;1923.1;2518.3;3023.8;None;
Short-Term Investments;--;--;391.3;143.6;None;
Trading Asset Securities;19.5;430.2;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2770.0;2353.3;2909.6;3167.4;None;
Accounts Receivable;5055.2;5785.5;5918.9;5631.2;None;
Notes Receivable;88.8;--;--;--;None;
Other Receivables;1037.9;1539.8;1380.3;1483.6;None;
TOTAL RECEIVABLES;6181.9;7325.3;7299.2;7114.8;None;
Inventory;2301.9;2426.9;2478.9;2518.0;None;
Other Current Assets;551.1;1019.1;909.7;1021.2;None;
TOTAL CURRENT ASSETS;11804.9;13124.6;13597.4;13821.4;None;
Gross Property Plant and Equipment;--;--;--;4764.3;None;
Accumulated Depreciation;--;--;--;-3198.4;None;
NET PROPERTY PLANT AND EQUIPMENT;1347.2;1493.9;1505.3;1565.9;None;
Goodwill;3044.9;3402.6;3411.2;3453.5;None;
Long-Term Investments;812.4;526.3;527.5;573.0;None;
Loans Receivable Long Term;94.0;--;50.3;63.4;None;
Deferred Tax Assets Long Term;954.7;955.0;995.7;826.4;None;
Deferred Charges Long Term;236.7;203.3;155.6;148.4;None;
Other Intangibles;596.2;1126.2;1016.4;981.2;None;
Other Long-Term Assets;129.4;255.6;58.3;61.6;None;
TOTAL ASSETS;19020.4;21087.5;21317.7;21494.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2168.5;2837.7;2699.6;2638.2;None;
Accrued Expenses;1811.2;2138.9;2052.5;1991.9;None;
Short-Term Borrowings;350.6;330.2;273.5;276.8;None;
Current Portion of Long-Term Debt/Capital Lease;879.1;106.9;734.4;188.7;None;
Current Income Taxes Payable;37.5;58.5;48.1;73.7;None;
Other Current Liabilities Total;2761.4;2555.2;2465.6;2359.3;None;
Unearned Revenue Current;4814.4;6165.9;6333.4;6243.3;None;
TOTAL CURRENT LIABILITIES;12822.7;14193.3;14607.1;13771.9;None;
Long-Term Debt;1446.8;1494.6;850.6;1541.6;None;
Minority Interest;9.5;9.7;10.4;29.9;None;
Pension & Other Post-Retirement Benefits;874.7;883.4;1758.9;1744.9;None;
Deferred Tax Liability Non-Current;194.9;386.3;383.4;333.6;None;
Other Non-Current Liabilities;--;--;166.2;161.9;None;
TOTAL LIABILITIES;15339.1;16957.6;17766.2;17553.9;None;
Common Stock;597.2;607.0;607.0;617.2;None;
Additional Paid in Capital;3656.8;3731.4;3731.6;3826.6;None;
Retained Earnings;--;--;-623.7;-267.6;None;
Treasury Stock;-140.3;-115.2;-87.9;-81.4;None;
Comprehensive Income and Other;-441.9;-103.0;-85.9;-183.8;None;
TOTAL COMMON EQUITY;3671.8;4120.2;3541.1;3911.0;None;
TOTAL EQUITY;3681.3;4129.9;3551.5;3940.9;None;
TOTAL LIABILITIES AND EQUITY;19020.4;21087.5;21317.7;21494.8;None;
