Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;13124.8;13028.4;14158.1;14194.1;None;
TOTAL REVENUES;13124.8;13028.4;14158.1;14194.1;None;
Cost of Goods Sold;11028.6;10067.1;10868.1;10844.7;None;
GROSS PROFIT;2096.2;2961.3;3290.0;3349.4;None;
Selling General & Admin Expenses Total;1550.0;1495.3;1656.6;1626.6;None;
R&D Expenses;612.3;619.2;687.4;673.1;None;
Depreciation & Amortization Total;81.7;70.6;111.5;98.4;None;
Other Operating Expenses;3.8;--;--;--;None;
OTHER OPERATING EXPENSES TOTAL;2247.8;2185.1;2455.5;2398.1;None;
OPERATING INCOME;-151.6;776.2;834.5;951.3;None;
Interest Expense;-81.3;-83.3;-56.1;-34.7;None;
Interest and Investment Income;38.2;40.7;49.6;41.0;None;
NET INTEREST EXPENSE;-43.1;-42.6;-6.5;6.3;None;
Income (Loss) on Equity Investments;54.5;53.4;23.8;20.2;None;
Currency Exchange Gains (Loss);-6.2;-1.2;-36.4;-23.5;None;
Other Non-Operating Income (Expenses);-19.2;-13.7;-17.8;-28.6;None;
EBT EXCLUDING UNUSUAL ITEMS;-165.6;772.1;797.6;925.7;None;
Merger & Restructuring Charges;-130.1;-160.5;-117.8;-118.9;None;
Impairment of Goodwill;-9.8;--;--;--;None;
Gain (Loss) on Sale of Investments;36.7;54.7;79.1;-5.9;None;
Gain (Loss) on Sale of Assets;-9.3;0.5;16.9;7.1;None;
Other Unusual Items Total;-50.0;-8.0;6.9;1.9;None;
Legal Settlements;-50.0;-0.9;12.3;--;None;
Other Unusual Items;--;--;9.3;6.0;None;
EBT INCLUDING UNUSUAL ITEMS;-328.1;658.8;782.7;809.9;None;
Income Tax Expense;-220.5;147.3;196.9;236.9;None;
Minority Interest in Earnings;--;0.3;-0.3;0.4;None;
Earnings from Continuing Operations;-107.6;511.5;585.8;573.0;None;
NET INCOME;-107.6;511.8;585.5;573.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-107.6;511.8;585.5;573.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-107.6;511.8;585.5;573.4;None;
