Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;648.2;414.3;443.6;569.4;None;
Trading Asset Securities;--;0.2;0.4;1.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;648.2;414.5;444.0;570.6;None;
Accounts Receivable;604.3;538.6;603.0;548.2;None;
Notes Receivable;0.6;0.1;0.1;0.1;None;
Other Receivables;258.9;211.1;540.5;195.9;None;
TOTAL RECEIVABLES;863.8;749.8;1143.6;744.2;None;
Restricted Cash;206.6;213.5;178.8;167.0;None;
Other Current Assets;634.2;772.7;988.4;738.9;None;
TOTAL CURRENT ASSETS;2352.8;2150.5;2754.8;2220.7;None;
Gross Property Plant and Equipment;5155.7;5648.8;5671.8;8904.8;None;
Accumulated Depreciation;-524.3;-641.3;-729.9;-883.6;None;
NET PROPERTY PLANT AND EQUIPMENT;4631.4;5007.5;4941.9;8021.2;None;
Goodwill;82.8;79.7;77.2;69.7;None;
Deferred Tax Assets Long Term;14.7;20.9;13.8;10.6;None;
Other Intangibles;9.1;7.3;5.8;3.8;None;
Other Long-Term Assets;28.3;9.2;4.6;6.4;None;
TOTAL ASSETS;7141.9;7279.8;7801.9;10340.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;520.1;498.8;550.2;520.2;None;
Accrued Expenses;133.4;123.3;124.9;118.7;None;
Short-Term Borrowings;52.5;71.7;66.1;129.1;None;
Current Portion of Capital Lease Obligations;20.8;28.3;16.4;21.2;None;
Current Income Taxes Payable;13.1;20.0;7.2;13.1;None;
Other Current Liabilities Total;491.6;625.5;439.9;368.5;None;
Unearned Revenue Current;41.1;27.3;38.3;36.0;None;
TOTAL CURRENT LIABILITIES;1486.3;1724.9;1685.7;2184.9;None;
Long-Term Debt;2618.5;2607.5;2928.9;3278.9;None;
Capital Leases;110.6;116.3;126.0;177.2;None;
Minority Interest;0.8;1.7;310.7;412.3;None;
Deferred Tax Liability Non-Current;7.1;9.2;9.6;11.2;None;
Other Non-Current Liabilities;85.4;81.9;85.6;108.7;None;
TOTAL LIABILITIES;4307.9;4539.8;4835.8;5760.9;None;
Common Stock;79.0;79.3;79.3;112.7;None;
Additional Paid in Capital;1374.6;1303.4;1303.9;2679.3;None;
Retained Earnings;1218.0;93.0;51.5;126.9;None;
Treasury Stock;-40.4;-36.1;-22.0;-27.1;None;
Comprehensive Income and Other;202.0;1298.7;1242.7;1275.8;None;
TOTAL COMMON EQUITY;2833.2;2738.3;2655.4;4167.6;None;
TOTAL EQUITY;2834.0;2740.0;2966.1;4579.9;None;
TOTAL LIABILITIES AND EQUITY;7141.9;7279.8;7801.9;10340.8;None;
