Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;3.0;1.0;-0.7;2.1;None;
TOTAL REVENUES;1436.2;1494.7;1500.1;1596.3;None;
Cost of Goods Sold;720.9;793.7;810.4;871.6;None;
GROSS PROFIT;715.3;701.0;689.7;724.7;None;
Selling General & Admin Expenses Total;375.0;319.1;280.2;237.1;None;
Depreciation & Amortization Total;149.4;148.6;176.8;215.6;None;
Other Operating Expenses;202.0;199.3;196.3;168.2;None;
OTHER OPERATING EXPENSES TOTAL;202.0;199.3;196.3;168.2;None;
OPERATING INCOME;181.2;207.9;205.5;255.9;None;
Interest Expense;-108.2;-101.5;-103.0;-134.1;None;
Interest and Investment Income;5.4;6.8;10.3;9.9;None;
NET INTEREST EXPENSE;-102.8;-94.7;-92.7;-124.2;None;
Income (Loss) on Equity Investments;2.6;0.4;0.8;0.6;None;
Other Non-Operating Income (Expenses);-0.2;-9.2;-10.5;1.3;None;
Impairment of Goodwill;0.4;--;-1.6;-3.1;None;
Gain (Loss) on Sale of Investments;1.1;6.4;0.8;0.2;None;
Gain (Loss) on Sale of Assets;1173.9;63.7;80.8;122.4;None;
Other Unusual Items Total;--;-32.3;-85.7;-69.0;None;
EBT INCLUDING UNUSUAL ITEMS;1256.2;142.2;97.4;184.1;None;
Income Tax Expense;33.6;44.1;36.9;39.2;None;
Minority Interest in Earnings;-4.6;-5.1;-9.0;-18.0;None;
Earnings from Continuing Operations;1222.6;98.1;60.5;144.9;None;
NET INCOME;1218.0;93.0;51.5;126.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1218.0;93.0;51.5;126.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1218.0;93.0;51.5;126.9;None;
