Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;344.9;357.4;384.2;318.1;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;344.9;357.4;384.2;318.1;None;
Accounts Receivable;94.8;104.8;222.1;287.8;None;
Notes Receivable;0.0;0.0;0.0;--;None;
Other Receivables;54.7;74.1;107.7;118.9;None;
TOTAL RECEIVABLES;149.5;178.9;329.8;406.7;None;
Inventory;0.9;26.5;31.7;18.9;None;
Prepaid Expenses;17.1;19.5;22.4;34.8;None;
Other Current Assets;75.4;73.0;54.5;41.4;None;
TOTAL CURRENT ASSETS;587.8;655.4;822.6;820.0;None;
Gross Property Plant and Equipment;2236.1;3003.7;3573.3;4062.3;None;
Accumulated Depreciation;-1023.5;-1187.5;-1375.7;-1683.0;None;
NET PROPERTY PLANT AND EQUIPMENT;1212.6;1816.2;2197.6;2379.3;None;
Goodwill;214.2;214.7;214.8;214.8;None;
Long-Term Investments;3.8;1.8;1.9;1.9;None;
Loans Receivable Long Term;3.3;0.5;0.0;--;None;
Deferred Tax Assets Long Term;0.0;8.7;47.2;51.8;None;
Other Intangibles;423.7;1156.7;1457.4;1302.6;None;
Other Long-Term Assets;46.6;5.3;5.5;5.8;None;
TOTAL ASSETS;2492.2;3859.4;4747.0;4776.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;271.0;543.6;790.7;748.2;None;
Accrued Expenses;57.6;77.8;172.2;189.5;None;
Short-Term Borrowings;7.4;7.0;1.6;3.0;None;
Current Portion of Long-Term Debt/Capital Lease;28.8;170.1;234.0;242.6;None;
Current Portion of Capital Lease Obligations;14.9;18.1;21.3;26.0;None;
Current Income Taxes Payable;1.8;33.4;--;23.7;None;
Other Current Liabilities Total;31.0;36.9;118.5;130.6;None;
Unearned Revenue Current;0.3;0.4;23.4;24.8;None;
TOTAL CURRENT LIABILITIES;397.9;869.2;1340.5;1362.5;None;
Long-Term Debt;919.3;1070.7;1139.3;1019.9;None;
Capital Leases;80.7;79.0;73.6;75.5;None;
Minority Interest;--;--;10.3;7.1;None;
Deferred Tax Liability Non-Current;12.8;7.7;5.1;3.0;None;
Other Non-Current Liabilities;3.3;308.8;461.9;301.8;None;
TOTAL LIABILITIES;1413.9;2335.5;3020.3;2762.7;None;
Common Stock;12.1;12.6;12.8;12.9;None;
Additional Paid in Capital;98.7;305.0;343.4;370.7;None;
Retained Earnings;930.7;1160.5;1328.7;1576.6;None;
Treasury Stock;-2.5;-2.1;-4.1;-4.8;None;
Comprehensive Income and Other;39.3;47.9;35.5;51.2;None;
TOTAL COMMON EQUITY;1078.3;1523.9;1716.4;2006.5;None;
TOTAL EQUITY;1078.3;1523.9;1726.7;2013.6;None;
TOTAL LIABILITIES AND EQUITY;2492.2;3859.4;4747.0;4776.3;None;
