Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2038.3;2122.1;3153.3;3747.9;None;
TOTAL REVENUES;2038.3;2122.1;3153.3;3747.9;None;
Cost of Goods Sold;1002.7;1113.5;1865.4;2210.5;None;
GROSS PROFIT;1035.6;1008.5;1287.9;1537.3;None;
Selling General & Admin Expenses Total;152.2;147.3;202.7;217.9;None;
Depreciation & Amortization Total;311.9;324.7;498.2;640.6;None;
Other Operating Expenses;124.3;58.2;188.9;138.3;None;
OTHER OPERATING EXPENSES TOTAL;588.4;530.2;889.7;996.8;None;
OPERATING INCOME;447.2;478.4;398.2;540.6;None;
Interest Expense;-44.0;-53.2;-58.8;-60.6;None;
Interest and Investment Income;2.3;6.4;2.0;1.2;None;
NET INTEREST EXPENSE;-41.7;-46.8;-56.8;-59.4;None;
Currency Exchange Gains (Loss);-7.8;-11.7;-2.8;-0.1;None;
Other Non-Operating Income (Expenses);0.0;-22.3;-31.5;-24.2;None;
EBT EXCLUDING UNUSUAL ITEMS;397.7;397.6;307.1;456.9;None;
Gain (Loss) on Sale of Assets;6.8;2.5;1.8;0.4;None;
Other Unusual Items Total;84.9;12.6;5.3;-4.0;None;
Other Unusual Items;125.0;13.1;6.5;10.9;None;
EBT INCLUDING UNUSUAL ITEMS;489.4;412.8;314.2;453.3;None;
Income Tax Expense;176.3;161.0;127.7;187.9;None;
Minority Interest in Earnings;0.0;-0.2;2.8;3.8;None;
Earnings from Continuing Operations;313.1;251.8;186.5;265.4;None;
NET INCOME;313.2;251.6;189.4;269.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;313.2;251.6;189.4;269.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;313.2;251.6;189.4;269.3;None;
