Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;158.9;347.6;384.2;352.1;None;
Short-Term Investments;--;--;--;10.3;None;
Trading Asset Securities;0.4;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;159.4;347.6;384.2;362.4;None;
Accounts Receivable;235.1;308.3;311.6;321.6;None;
Notes Receivable;0.3;0.3;0.4;2.1;None;
Other Receivables;28.4;33.5;28.8;34.4;None;
TOTAL RECEIVABLES;263.8;342.0;340.7;358.1;None;
Inventory;105.5;94.9;105.2;102.0;None;
Prepaid Expenses;7.1;10.9;12.1;12.8;None;
Other Current Assets;4.2;9.8;4.8;5.5;None;
TOTAL CURRENT ASSETS;540.0;805.3;847.0;840.8;None;
Gross Property Plant and Equipment;86.4;92.5;87.8;86.5;None;
Accumulated Depreciation;-55.1;-58.3;-50.2;-47.3;None;
NET PROPERTY PLANT AND EQUIPMENT;31.3;34.2;37.6;39.2;None;
Goodwill;466.3;529.0;551.2;849.3;None;
Long-Term Investments;25.7;22.9;13.3;17.1;None;
Accounts Receivable Long Term;17.7;17.8;19.7;23.8;None;
Loans Receivable Long Term;--;--;--;6.2;None;
Deferred Tax Assets Long Term;22.9;23.5;26.8;34.1;None;
Deferred Charges Long Term;25.0;22.2;17.4;31.9;None;
Other Intangibles;131.8;129.7;131.0;147.7;None;
Other Long-Term Assets;2.7;2.5;1.5;0.8;None;
TOTAL ASSETS;1263.4;1587.2;1645.4;1990.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;194.2;204.0;202.4;222.9;None;
Accrued Expenses;60.0;70.2;73.5;98.9;None;
Short-Term Borrowings;13.4;19.7;13.3;23.0;None;
Current Portion of Long-Term Debt/Capital Lease;25.8;12.1;70.6;68.5;None;
Current Portion of Capital Lease Obligations;4.6;3.6;3.6;1.8;None;
Current Income Taxes Payable;8.6;16.6;21.3;17.9;None;
Other Current Liabilities Total;69.9;76.5;42.1;51.4;None;
Unearned Revenue Current;33.7;39.3;63.6;81.2;None;
TOTAL CURRENT LIABILITIES;405.7;438.5;486.9;563.8;None;
Long-Term Debt;219.9;421.6;379.2;558.2;None;
Capital Leases;8.9;6.0;2.2;2.2;None;
Minority Interest;--;7.1;-0.7;1.2;None;
Unearned Revenue Non-Current;8.8;8.8;19.1;20.8;None;
Pension & Other Post-Retirement Benefits;8.7;12.8;11.7;11.4;None;
Deferred Tax Liability Non-Current;39.1;43.7;38.7;48.5;None;
Other Non-Current Liabilities;26.9;25.3;19.1;19.3;None;
TOTAL LIABILITIES;717.8;956.7;956.8;1224.3;None;
Common Stock;51.5;52.0;52.5;53.1;None;
Additional Paid in Capital;382.5;394.8;402.4;425.8;None;
Retained Earnings;111.7;174.2;227.2;306.7;None;
Treasury Stock;-14.6;-17.7;-5.9;-7.2;None;
Comprehensive Income and Other;14.5;20.2;13.1;-13.0;None;
TOTAL COMMON EQUITY;545.6;623.5;689.4;765.5;None;
TOTAL EQUITY;545.6;630.6;688.6;766.7;None;
TOTAL LIABILITIES AND EQUITY;1263.4;1587.2;1645.4;1990.9;None;
