Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;907.0;1001.1;1206.4;1370.9;None;
TOTAL REVENUES;907.0;1001.1;1206.4;1370.9;None;
Cost of Goods Sold;540.6;588.1;693.8;771.2;None;
GROSS PROFIT;366.4;413.0;512.7;599.7;None;
Selling General & Admin Expenses Total;185.3;211.7;256.4;289.4;None;
R&D Expenses;84.2;76.6;93.4;102.3;None;
Other Operating Expenses;-0.8;0.4;-0.2;4.5;None;
OTHER OPERATING EXPENSES TOTAL;268.8;288.7;349.6;396.2;None;
OPERATING INCOME;97.7;124.3;163.1;203.6;None;
Interest Expense;-11.7;-27.9;-23.1;-24.1;None;
Interest and Investment Income;3.4;7.2;9.3;7.3;None;
NET INTEREST EXPENSE;-8.3;-20.7;-13.8;-16.8;None;
Income (Loss) on Equity Investments;-1.7;-3.2;-0.5;-0.2;None;
Currency Exchange Gains (Loss);0.9;-4.1;0.1;-0.3;None;
Other Non-Operating Income (Expenses);-2.6;1.0;1.2;-0.3;None;
EBT EXCLUDING UNUSUAL ITEMS;85.9;97.2;150.1;185.9;None;
Merger & Restructuring Charges;-9.9;-13.0;-9.0;-8.8;None;
Impairment of Goodwill;-22.1;--;--;-7.9;None;
Gain (Loss) on Sale of Investments;8.3;0.5;8.9;0.1;None;
Gain (Loss) on Sale of Assets;0.3;-0.9;0.0;2.6;None;
Other Unusual Items Total;-0.2;-3.3;--;-2.9;None;
Legal Settlements;-0.2;-3.3;--;--;None;
Other Unusual Items;--;--;--;-2.9;None;
EBT INCLUDING UNUSUAL ITEMS;62.3;80.5;150.1;169.0;None;
Income Tax Expense;22.7;22.6;49.8;56.1;None;
Minority Interest in Earnings;0.0;-1.5;-3.4;1.1;None;
Earnings from Continuing Operations;39.6;58.0;100.3;112.9;None;
NET INCOME;39.6;56.5;96.9;114.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;39.6;56.5;96.9;114.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;39.6;56.5;96.9;114.1;None;
