Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;178.1;145.0;113.6;131.0;None;
Trading Asset Securities;0.0;0.0;0.5;0.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;178.2;145.0;114.2;131.1;None;
Accounts Receivable;241.9;259.4;256.3;243.5;None;
Other Receivables;84.4;89.3;85.5;76.0;None;
TOTAL RECEIVABLES;326.3;348.7;341.8;319.5;None;
Inventory;112.1;117.8;127.9;121.5;None;
Prepaid Expenses;14.6;12.9;15.2;15.6;None;
Other Current Assets;8.5;8.3;7.4;14.2;None;
TOTAL CURRENT ASSETS;639.8;632.8;606.3;601.8;None;
Gross Property Plant and Equipment;612.2;622.6;634.7;651.7;None;
Accumulated Depreciation;-330.7;-351.2;-353.0;-364.2;None;
NET PROPERTY PLANT AND EQUIPMENT;281.5;271.4;281.7;287.5;None;
Goodwill;299.1;299.5;298.2;310.7;None;
Long-Term Investments;141.3;99.8;22.9;8.1;None;
Deferred Tax Assets Long Term;141.6;184.6;215.6;202.5;None;
Other Intangibles;161.4;131.4;125.1;144.8;None;
Other Long-Term Assets;13.4;13.9;12.0;9.8;None;
TOTAL ASSETS;1678.2;1633.4;1561.9;1565.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;140.7;149.8;159.8;154.8;None;
Accrued Expenses;104.6;110.3;106.9;116.4;None;
Short-Term Borrowings;0.2;0.2;0.4;5.6;None;
Current Portion of Long-Term Debt/Capital Lease;7.5;9.0;8.5;7.5;None;
Current Income Taxes Payable;6.6;5.6;3.3;5.8;None;
Other Current Liabilities Total;45.5;65.9;132.8;58.7;None;
Unearned Revenue Current;28.0;29.6;25.2;27.3;None;
TOTAL CURRENT LIABILITIES;333.1;370.4;437.0;376.2;None;
Long-Term Debt;15.3;16.6;15.9;12.3;None;
Minority Interest;2.0;2.6;2.0;2.2;None;
Unearned Revenue Non-Current;199.0;183.3;133.8;105.6;None;
Pension & Other Post-Retirement Benefits;16.1;19.5;42.7;45.7;None;
Deferred Tax Liability Non-Current;12.0;2.6;2.5;6.8;None;
Other Non-Current Liabilities;23.5;25.7;25.6;45.0;None;
TOTAL LIABILITIES;599.0;618.0;657.3;591.6;None;
Common Stock;84.2;84.2;84.3;84.2;None;
Additional Paid in Capital;711.0;711.1;711.1;711.9;None;
Retained Earnings;140.0;45.1;16.8;197.2;None;
Treasury Stock;-41.1;-38.6;-38.2;-48.4;None;
Comprehensive Income and Other;183.1;211.0;128.6;26.6;None;
TOTAL COMMON EQUITY;1077.2;1012.8;902.5;971.5;None;
TOTAL EQUITY;1079.2;1015.4;904.5;973.7;None;
TOTAL LIABILITIES AND EQUITY;1678.2;1633.4;1561.9;1565.3;None;
