Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1100.2;1159.8;1219.5;1224.8;None;
Other Revenues;70.1;50.4;57.9;57.0;None;
TOTAL REVENUES;1170.3;1210.2;1277.4;1281.8;None;
Cost of Goods Sold;238.9;249.2;254.3;253.4;None;
GROSS PROFIT;931.4;960.9;1023.1;1028.4;None;
Selling General & Admin Expenses Total;521.7;524.6;572.6;555.5;None;
R&D Expenses;221.1;234.6;248.2;259.1;None;
Depreciation & Amortization Total;3.1;4.7;3.3;4.1;None;
Other Operating Expenses;2.8;0.0;2.2;1.7;None;
OTHER OPERATING EXPENSES TOTAL;748.8;764.0;826.3;820.3;None;
OPERATING INCOME;182.6;197.0;196.8;208.1;None;
Interest Expense;-0.6;-0.5;-1.7;-1.7;None;
Interest and Investment Income;1.6;0.2;0.1;7.9;None;
NET INTEREST EXPENSE;1.0;-0.3;-1.5;6.2;None;
Income (Loss) on Equity Investments;-12.8;--;--;--;None;
Currency Exchange Gains (Loss);-3.2;1.1;-5.3;-11.2;None;
Other Non-Operating Income (Expenses);0.9;-0.3;1.3;-1.1;None;
EBT EXCLUDING UNUSUAL ITEMS;168.4;197.5;191.2;202.0;None;
Merger & Restructuring Charges;--;-36.5;-62.1;-0.2;None;
Gain (Loss) on Sale of Investments;-1.3;-0.6;11.6;-2.5;None;
Other Unusual Items Total;-54.4;-88.4;-18.1;-17.5;None;
Legal Settlements;--;17.2;--;--;None;
Other Unusual Items;45.7;-20.4;-20.5;-4.9;None;
EBT INCLUDING UNUSUAL ITEMS;112.6;71.9;122.6;181.8;None;
Income Tax Expense;17.0;-1.9;25.2;39.6;None;
Minority Interest in Earnings;-0.4;-0.5;-0.5;-0.6;None;
Earnings from Continuing Operations;95.7;73.8;97.4;142.2;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;-72.9;-124.8;10.9;None;
NET INCOME;95.3;0.4;-27.9;152.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;95.3;0.4;-27.9;152.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;95.3;73.3;96.9;141.6;None;
