Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;150.0;161.2;132.3;148.7;None;
Trading Asset Securities;0.7;5.9;8.0;2.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;150.7;167.1;140.2;150.9;None;
Accounts Receivable;349.5;565.0;606.6;583.9;None;
Other Receivables;29.0;44.5;46.9;54.3;None;
TOTAL RECEIVABLES;378.5;609.5;653.5;638.2;None;
Prepaid Expenses;3.1;9.0;22.3;18.0;None;
Other Current Assets;1.0;2.6;3.6;3.5;None;
TOTAL CURRENT ASSETS;533.3;788.2;819.6;810.7;None;
Gross Property Plant and Equipment;107.9;188.8;193.1;162.9;None;
Accumulated Depreciation;-81.3;-138.5;-145.7;-126.7;None;
NET PROPERTY PLANT AND EQUIPMENT;26.7;50.3;47.4;36.2;None;
Goodwill;716.9;1119.8;1199.0;1133.0;None;
Long-Term Investments;6.9;148.2;15.9;24.3;None;
Loans Receivable Long Term;0.0;1.3;137.3;0.3;None;
Deferred Tax Assets Long Term;23.0;43.1;38.8;36.5;None;
Other Intangibles;38.1;81.8;90.5;87.3;None;
Other Long-Term Assets;--;0.0;1.4;--;None;
TOTAL ASSETS;1344.9;2232.6;2349.9;2128.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;143.1;259.8;259.3;221.6;None;
Accrued Expenses;91.3;106.8;113.0;105.1;None;
Short-Term Borrowings;2.7;0.8;1.9;5.0;None;
Current Portion of Long-Term Debt/Capital Lease;56.3;71.6;86.0;62.4;None;
Current Portion of Capital Lease Obligations;0.3;1.8;0.5;0.3;None;
Current Income Taxes Payable;6.7;6.8;10.0;10.3;None;
Other Current Liabilities Total;30.5;47.2;31.4;30.6;None;
Unearned Revenue Current;5.1;12.4;7.1;5.6;None;
TOTAL CURRENT LIABILITIES;335.7;505.4;508.8;440.6;None;
Long-Term Debt;276.5;680.3;675.6;628.0;None;
Capital Leases;0.5;0.3;0.2;0.4;None;
Minority Interest;11.6;12.4;11.6;13.4;None;
Pension & Other Post-Retirement Benefits;9.9;16.5;23.0;21.0;None;
Deferred Tax Liability Non-Current;52.6;84.3;101.3;104.1;None;
Other Non-Current Liabilities;41.9;54.2;114.8;81.7;None;
TOTAL LIABILITIES;717.0;1341.0;1423.8;1275.8;None;
Common Stock;8.5;11.3;11.3;11.3;None;
Additional Paid in Capital;339.6;538.4;540.0;540.2;None;
Treasury Stock;-0.2;-1.0;-1.0;-0.7;None;
Comprehensive Income and Other;268.4;330.4;364.2;288.2;None;
TOTAL COMMON EQUITY;616.4;879.1;914.6;839.1;None;
TOTAL EQUITY;627.9;891.6;926.1;852.5;None;
TOTAL LIABILITIES AND EQUITY;1344.9;2232.6;2349.9;2128.3;None;
