Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1140.8;1362.9;1789.5;1712.4;None;
TOTAL REVENUES;1140.8;1362.9;1789.5;1712.4;None;
Cost of Goods Sold;418.1;490.6;642.3;614.6;None;
GROSS PROFIT;722.7;872.3;1147.2;1097.8;None;
Selling General & Admin Expenses Total;595.2;706.8;969.1;916.8;None;
Depreciation & Amortization Total;1.7;2.3;4.9;4.7;None;
Other Operating Expenses;--;5.3;--;--;None;
OTHER OPERATING EXPENSES TOTAL;596.9;714.4;974.0;921.5;None;
OPERATING INCOME;125.8;157.9;173.2;176.3;None;
Interest Expense;-12.1;-20.9;-28.1;-26.8;None;
Interest and Investment Income;1.6;3.8;2.7;2.2;None;
NET INTEREST EXPENSE;-10.5;-17.1;-25.4;-24.6;None;
Income (Loss) on Equity Investments;0.1;0.0;0.0;0.0;None;
Currency Exchange Gains (Loss);-0.1;-0.1;-1.3;-3.9;None;
Other Non-Operating Income (Expenses);-5.8;10.4;-0.6;-70.9;None;
EBT EXCLUDING UNUSUAL ITEMS;109.5;151.1;145.9;76.9;None;
Merger & Restructuring Charges;-8.9;-23.8;-36.2;-18.6;None;
Gain (Loss) on Sale of Assets;0.3;--;--;--;None;
Other Unusual Items Total;-0.6;-2.6;-0.5;0.4;None;
Legal Settlements;-0.1;-0.5;--;--;None;
Other Unusual Items;-0.6;-2.1;-0.5;0.4;None;
EBT INCLUDING UNUSUAL ITEMS;100.3;124.8;109.2;58.7;None;
Income Tax Expense;27.5;34.4;27.3;33.5;None;
Minority Interest in Earnings;-6.6;-6.3;-7.9;-7.8;None;
Earnings from Continuing Operations;72.8;90.4;82.0;25.2;None;
NET INCOME;66.2;84.0;74.1;17.4;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;66.2;84.0;74.1;17.4;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;66.2;84.0;74.1;17.4;None;
