Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;11007.8;8062.3;9736.3;9748.4;None;
TOTAL REVENUES;11007.8;8062.3;9736.3;9748.4;None;
Cost of Goods Sold;5639.2;3086.5;3776.2;3657.9;None;
GROSS PROFIT;5368.6;4975.8;5960.1;6090.5;None;
Selling General & Admin Expenses Total;1636.7;1234.8;1493.6;1534.7;None;
Other Operating Expenses;2361.5;2245.3;2675.0;2805.7;None;
OTHER OPERATING EXPENSES TOTAL;3998.2;3480.1;4168.6;4340.4;None;
OPERATING INCOME;1370.4;1495.7;1791.5;1750.1;None;
Interest Expense;-260.2;-221.3;-220.5;-188.1;None;
Interest and Investment Income;7.1;10.0;6.7;9.3;None;
NET INTEREST EXPENSE;-253.1;-211.3;-213.8;-178.8;None;
Income (Loss) on Equity Investments;34.7;46.6;36.9;1.6;None;
Currency Exchange Gains (Loss);0.5;-3.2;-3.2;-17.5;None;
Other Non-Operating Income (Expenses);12.7;19.3;70.3;-8.4;None;
EBT EXCLUDING UNUSUAL ITEMS;1165.2;1347.1;1681.7;1547.0;None;
Merger & Restructuring Charges;-26.0;-13.4;-158.5;-29.7;None;
Impairment of Goodwill;-18.0;--;--;-280.1;None;
Gain (Loss) on Sale of Investments;-0.2;-0.9;-1.0;-7.6;None;
Other Unusual Items Total;-97.2;-10.1;133.3;-132.7;None;
Legal Settlements;--;--;--;-21.8;None;
Other Unusual Items;-44.1;-3.0;186.9;-29.8;None;
EBT INCLUDING UNUSUAL ITEMS;1023.8;1322.7;1655.5;1096.9;None;
Income Tax Expense;263.6;295.2;297.6;235.4;None;
Minority Interest in Earnings;-50.8;-59.2;-34.2;7.9;None;
Earnings from Continuing Operations;760.2;1027.5;1357.9;861.5;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;255.1;18.0;-275.5;-819.8;None;
NET INCOME;964.5;986.3;1048.2;49.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;964.5;986.3;1048.2;49.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;709.4;968.3;1323.7;869.4;None;
