Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;6140.0;5567.0;34697.0;40891.0;None;
Trading Asset Securities;136455.0;168110.0;137033.0;132764.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;232883.0;275866.0;285719.0;270154.0;None;
Other Receivables;18850.0;3760.0;4891.0;6463.0;None;
TOTAL RECEIVABLES;18850.0;3760.0;4891.0;6463.0;None;
Prepaid Expenses;895.0;--;--;--;None;
Restricted Cash;6027.0;--;--;--;None;
Other Current Assets;938.0;606.0;532.0;340.0;None;
TOTAL CURRENT ASSETS;260347.0;284721.0;295430.0;280596.0;None;
Gross Property Plant and Equipment;1497.0;1630.0;1664.0;1599.0;None;
Accumulated Depreciation;-792.0;-912.0;-948.0;-981.0;None;
NET PROPERTY PLANT AND EQUIPMENT;705.0;718.0;716.0;618.0;None;
Goodwill;2731.0;2766.0;2742.0;2652.0;None;
Deferred Tax Assets Long Term;3361.0;3217.0;3227.0;3139.0;None;
Deferred Charges Long Term;172.0;193.0;215.0;242.0;None;
Other Intangibles;718.0;799.0;751.0;675.0;None;
Other Long-Term Assets;9177.0;27272.0;27665.0;23065.0;None;
TOTAL ASSETS;458009.0;507712.0;528411.0;510131.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;--;3320.0;4169.0;6429.0;None;
Accrued Expenses;1658.0;4214.0;4527.0;4713.0;None;
Short-Term Borrowings;204885.0;242990.0;209378.0;196857.0;None;
Current Income Taxes Payable;371.0;292.0;380.0;357.0;None;
Other Current Liabilities Total;27856.0;28412.0;47575.0;42388.0;None;
TOTAL CURRENT LIABILITIES;329564.0;401084.0;414936.0;409006.0;None;
Long-Term Debt;48923.0;25140.0;29055.0;18449.0;None;
Capital Leases;48.0;--;--;--;None;
Minority Interest;436.0;520.0;542.0;45.0;None;
Unearned Revenue Non-Current;368.0;50.0;48.0;35.0;None;
Deferred Tax Liability Non-Current;312.0;329.0;144.0;146.0;None;
Other Non-Current Liabilities;57427.0;59921.0;64337.0;64550.0;None;
TOTAL LIABILITIES;436642.0;486524.0;508520.0;492186.0;None;
Common Stock;4653.0;4932.0;4938.0;4960.0;None;
Retained Earnings;7308.0;1562.0;913.0;884.0;None;
Treasury Stock;-8.0;-13.0;-17.0;-19.0;None;
Comprehensive Income and Other;8978.0;14187.0;13515.0;12075.0;None;
TOTAL COMMON EQUITY;20931.0;20668.0;19349.0;17900.0;None;
TOTAL EQUITY;21367.0;21188.0;19891.0;17945.0;None;
TOTAL LIABILITIES AND EQUITY;458009.0;507712.0;528411.0;510131.0;None;
