Millions of Euros;2010;2011;2012;2013;Trend;
TOTAL REVENUES;6200.0;6462.0;5860.0;6698.0;None;
GROSS PROFIT;6200.0;6462.0;5860.0;6698.0;None;
Selling General & Admin Expenses Total;252.0;265.0;291.0;302.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2021.0;2208.0;1292.0;1482.0;None;
Impairment of Goodwill;--;-43.0;-16.0;-14.0;None;
Other Unusual Items Total;-40.0;-44.0;-43.0;-17.0;None;
Other Unusual Items;-19.0;-36.0;-24.0;12.0;None;
EBT INCLUDING UNUSUAL ITEMS;1981.0;2121.0;1233.0;1451.0;None;
Income Tax Expense;213.0;520.0;275.0;568.0;None;
Minority Interest in Earnings;-36.0;-39.0;-45.0;1.0;None;
Earnings from Continuing Operations;1768.0;1601.0;958.0;883.0;None;
NET INCOME;1732.0;1562.0;913.0;884.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1352.0;1301.0;837.0;835.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1352.0;1301.0;837.0;835.0;None;
