Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;50.7;41.2;162.7;51.9;None;
Short-Term Investments;0.3;1.4;1.4;1.2;None;
Trading Asset Securities;0.6;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;51.6;42.5;164.1;53.2;None;
Accounts Receivable;86.1;91.5;79.6;88.4;None;
Other Receivables;97.4;117.5;117.7;120.7;None;
TOTAL RECEIVABLES;183.5;209.0;197.3;209.0;None;
Inventory;2.7;3.0;3.0;4.3;None;
Prepaid Expenses;--;--;--;11.7;None;
Other Current Assets;0.9;3.7;93.0;2.7;None;
TOTAL CURRENT ASSETS;238.7;258.2;457.4;280.9;None;
Gross Property Plant and Equipment;533.8;646.6;633.7;969.9;None;
Accumulated Depreciation;-196.8;-241.9;-246.9;-413.1;None;
NET PROPERTY PLANT AND EQUIPMENT;337.0;404.8;386.8;556.8;None;
Goodwill;643.6;687.6;666.8;748.7;None;
Long-Term Investments;5.5;3.7;7.2;1.3;None;
Deferred Tax Assets Long Term;28.7;35.3;42.8;58.1;None;
Other Intangibles;624.4;684.0;657.9;669.9;None;
Other Long-Term Assets;17.0;15.4;12.9;12.3;None;
TOTAL ASSETS;1894.9;2089.0;2231.9;2328.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;93.0;114.5;123.8;135.9;None;
Accrued Expenses;--;--;--;155.8;None;
Short-Term Borrowings;0.1;6.9;59.7;17.0;None;
Current Portion of Long-Term Debt/Capital Lease;52.2;69.2;44.9;75.2;None;
Current Portion of Capital Lease Obligations;--;6.7;--;13.9;None;
Other Current Liabilities Total;257.8;280.3;335.0;129.8;None;
Unearned Revenue Current;--;--;--;48.5;None;
TOTAL CURRENT LIABILITIES;403.0;470.9;563.3;562.2;None;
Long-Term Debt;455.5;530.4;665.2;523.1;None;
Capital Leases;76.9;92.3;--;190.5;None;
Minority Interest;16.9;20.0;20.5;22.7;None;
Pension & Other Post-Retirement Benefits;13.2;19.5;23.4;23.3;None;
Deferred Tax Liability Non-Current;220.9;245.9;238.3;245.9;None;
Other Non-Current Liabilities;7.1;7.3;8.9;14.4;None;
TOTAL LIABILITIES;1176.6;1366.2;1499.1;1559.4;None;
Common Stock;161.0;163.6;170.2;174.2;None;
Additional Paid in Capital;271.5;277.1;284.9;293.4;None;
Retained Earnings;291.3;--;--;--;None;
Comprehensive Income and Other;-22.5;262.1;257.1;278.3;None;
TOTAL COMMON EQUITY;701.4;702.8;712.2;745.9;None;
TOTAL EQUITY;718.3;722.8;732.7;768.6;None;
TOTAL LIABILITIES AND EQUITY;1894.9;2089.0;2231.9;2328.0;None;
