Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;922.9;1014.8;1108.4;1371.0;None;
Other Revenues;--;0.3;--;--;None;
TOTAL REVENUES;922.9;1015.1;1108.4;1371.0;None;
Cost of Goods Sold;495.1;545.0;602.2;749.8;None;
GROSS PROFIT;427.7;470.1;506.2;621.2;None;
Selling General & Admin Expenses Total;282.5;308.6;325.4;396.8;None;
Depreciation & Amortization Total;34.1;37.1;44.7;62.7;None;
Other Operating Expenses;45.4;42.5;60.1;56.7;None;
OTHER OPERATING EXPENSES TOTAL;362.0;388.1;430.2;516.2;None;
OPERATING INCOME;65.8;82.0;76.0;105.0;None;
Interest Expense;-27.1;-32.3;-31.9;-43.4;None;
Interest and Investment Income;0.3;0.4;0.1;0.0;None;
NET INTEREST EXPENSE;-26.9;-31.9;-31.8;-43.4;None;
Income (Loss) on Equity Investments;0.0;-0.2;0.0;0.0;None;
Other Non-Operating Income (Expenses);-0.5;-0.8;-1.8;-1.9;None;
EBT EXCLUDING UNUSUAL ITEMS;38.4;49.2;42.4;59.8;None;
Merger & Restructuring Charges;--;--;--;-12.0;None;
Gain (Loss) on Sale of Investments;-1.1;-3.1;0.0;-4.6;None;
Gain (Loss) on Sale of Assets;7.6;--;10.3;12.4;None;
EBT INCLUDING UNUSUAL ITEMS;44.9;46.1;52.7;55.6;None;
Income Tax Expense;17.8;20.5;26.8;24.2;None;
Minority Interest in Earnings;-2.5;-3.1;-2.6;-2.8;None;
Earnings from Continuing Operations;27.1;25.6;25.9;31.4;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;-0.8;--;--;None;
NET INCOME;24.7;21.7;23.3;28.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;24.7;21.7;23.3;28.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;24.7;22.4;23.3;28.6;None;
