Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3294.0;3171.0;2733.0;3346.0;None;
Trading Asset Securities;5.0;17.0;59.0;9.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;3299.0;3188.0;2792.0;3355.0;None;
Accounts Receivable;1774.0;1765.0;1762.0;1929.0;None;
Other Receivables;725.0;824.0;779.0;797.0;None;
TOTAL RECEIVABLES;2499.0;2589.0;2541.0;2726.0;None;
Inventory;1647.0;1531.0;1662.0;1621.0;None;
Prepaid Expenses;131.0;--;--;--;None;
Other Current Assets;166.0;2239.0;2289.0;15.0;None;
TOTAL CURRENT ASSETS;7742.0;9547.0;9284.0;7717.0;None;
Gross Property Plant and Equipment;29245.0;25429.0;25226.0;25371.0;None;
Accumulated Depreciation;-11333.0;-9887.0;-10234.0;-10619.0;None;
NET PROPERTY PLANT AND EQUIPMENT;17912.0;15542.0;14992.0;14752.0;None;
Goodwill;14327.0;12701.0;12184.0;11612.0;None;
Long-Term Investments;819.0;993.0;779.0;907.0;None;
Loans Receivable Long Term;490.0;386.0;373.0;365.0;None;
Deferred Tax Assets Long Term;489.0;804.0;1149.0;1082.0;None;
Other Intangibles;661.0;652.0;620.0;574.0;None;
Other Long-Term Assets;54.0;94.0;83.0;66.0;None;
TOTAL ASSETS;42494.0;40719.0;39464.0;37075.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1996.0;1964.0;1985.0;2224.0;None;
Accrued Expenses;1523.0;167.0;102.0;123.0;None;
Short-Term Borrowings;724.0;57.0;--;887.0;None;
Current Portion of Long-Term Debt/Capital Lease;2460.0;2883.0;2823.0;2004.0;None;
Current Income Taxes Payable;314.0;165.0;220.0;125.0;None;
Other Current Liabilities Total;488.0;2022.0;2135.0;1586.0;None;
TOTAL CURRENT LIABILITIES;7505.0;7258.0;7265.0;6949.0;None;
Long-Term Debt;14096.0;12266.0;11261.0;10805.0;None;
Capital Leases;--;46.0;--;--;None;
Minority Interest;2080.0;2197.0;2082.0;1951.0;None;
Pension & Other Post-Retirement Benefits;1108.0;1295.0;1492.0;1234.0;None;
Deferred Tax Liability Non-Current;871.0;933.0;973.0;915.0;None;
Other Non-Current Liabilities;690.0;720.0;725.0;666.0;None;
TOTAL LIABILITIES;24270.0;22518.0;21716.0;20569.0;None;
Common Stock;1146.0;1149.0;1149.0;1149.0;None;
Additional Paid in Capital;9640.0;9684.0;9695.0;9712.0;None;
Retained Earnings;5816.0;6219.0;6477.0;6868.0;None;
Treasury Stock;-26.0;-17.0;-11.0;-1.0;None;
Comprehensive Income and Other;-432.0;-1031.0;-1644.0;-3173.0;None;
TOTAL COMMON EQUITY;16144.0;16004.0;15666.0;14555.0;None;
TOTAL EQUITY;18224.0;18201.0;17748.0;16506.0;None;
TOTAL LIABILITIES AND EQUITY;42494.0;40719.0;39464.0;37075.0;None;
