Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;14834.0;15284.0;15816.0;15198.0;None;
TOTAL REVENUES;14834.0;15284.0;15816.0;15198.0;None;
Cost of Goods Sold;10920.0;11627.0;11934.0;11740.0;None;
GROSS PROFIT;3914.0;3657.0;3882.0;3458.0;None;
Selling General & Admin Expenses Total;1521.0;1478.0;1533.0;1446.0;None;
Other Operating Expenses;14.0;67.0;125.0;62.0;None;
OTHER OPERATING EXPENSES TOTAL;1535.0;1545.0;1658.0;1508.0;None;
OPERATING INCOME;2379.0;2112.0;2224.0;1950.0;None;
Interest Expense;-853.0;-943.0;-1000.0;-929.0;None;
Interest and Investment Income;91.0;106.0;113.0;97.0;None;
NET INTEREST EXPENSE;-762.0;-837.0;-887.0;-832.0;None;
Income (Loss) on Equity Investments;-23.0;-8.0;5.0;19.0;None;
Currency Exchange Gains (Loss);-24.0;-79.0;-23.0;-52.0;None;
Other Non-Operating Income (Expenses);-87.0;-83.0;-121.0;-94.0;None;
EBT EXCLUDING UNUSUAL ITEMS;1483.0;1105.0;1198.0;991.0;None;
Merger & Restructuring Charges;-115.0;-61.0;-204.0;-157.0;None;
Impairment of Goodwill;--;-292.0;-162.0;--;None;
Gain (Loss) on Sale of Investments;161.0;45.0;--;--;None;
Gain (Loss) on Sale of Assets;45.0;--;53.0;295.0;None;
Other Unusual Items Total;-175.0;-121.0;-55.0;-131.0;None;
Legal Settlements;-21.0;-25.0;-5.0;-6.0;None;
EBT INCLUDING UNUSUAL ITEMS;1399.0;676.0;830.0;998.0;None;
Income Tax Expense;305.0;432.0;292.0;262.0;None;
Minority Interest in Earnings;-287.0;-143.0;-189.0;-181.0;None;
Earnings from Continuing Operations;1094.0;244.0;538.0;736.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;20.0;492.0;16.0;46.0;None;
NET INCOME;827.0;593.0;365.0;601.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;827.0;593.0;365.0;601.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;807.0;101.0;349.0;555.0;None;
