Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;300.6;287.1;206.0;142.4;None;
Trading Asset Securities;20.0;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;320.6;287.1;206.0;142.4;None;
Accounts Receivable;100.1;98.9;133.2;113.2;None;
Other Receivables;118.9;240.6;184.9;160.0;None;
TOTAL RECEIVABLES;219.0;339.5;318.1;273.2;None;
Other Current Assets;201.5;133.9;159.9;1183.9;None;
TOTAL CURRENT ASSETS;741.0;760.5;684.0;1599.5;None;
Gross Property Plant and Equipment;13004.9;13364.9;13580.2;11903.0;None;
Accumulated Depreciation;-1302.6;-1523.8;-1801.4;-1723.1;None;
NET PROPERTY PLANT AND EQUIPMENT;11702.3;11841.1;11778.8;10179.9;None;
Goodwill;135.7;137.7;138.4;136.4;None;
Deferred Tax Assets Long Term;84.6;101.3;106.7;57.7;None;
Other Intangibles;20.7;27.4;30.8;34.8;None;
Other Long-Term Assets;35.6;20.9;15.6;14.2;None;
TOTAL ASSETS;12773.7;13007.4;12929.1;12170.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;122.7;109.5;122.1;110.9;None;
Accrued Expenses;80.4;85.9;74.4;76.4;None;
Short-Term Borrowings;761.9;734.5;796.1;729.7;None;
Current Income Taxes Payable;13.1;5.9;5.0;8.9;None;
Other Current Liabilities Total;183.0;162.0;207.6;193.5;None;
Unearned Revenue Current;138.0;123.6;103.9;59.6;None;
TOTAL CURRENT LIABILITIES;2276.4;1673.9;1597.0;2712.3;None;
Long-Term Debt;6231.6;7310.7;7119.2;5517.3;None;
Minority Interest;1267.7;1326.0;1410.7;1308.1;None;
Pension & Other Post-Retirement Benefits;12.9;14.4;16.2;14.7;None;
Deferred Tax Liability Non-Current;434.7;429.5;420.9;366.0;None;
Other Non-Current Liabilities;152.7;155.7;155.1;162.7;None;
TOTAL LIABILITIES;9108.3;9584.2;9308.3;8772.9;None;
Common Stock;265.5;265.5;279.3;279.3;None;
Additional Paid in Capital;1570.0;1570.0;1773.6;1773.6;None;
Retained Earnings;150.1;169.0;193.1;81.5;None;
Treasury Stock;-70.1;-101.1;-99.2;-93.5;None;
Comprehensive Income and Other;482.4;193.8;63.2;48.5;None;
TOTAL COMMON EQUITY;2397.8;2097.2;2210.0;2089.4;None;
TOTAL EQUITY;3665.5;3423.2;3620.7;3397.5;None;
TOTAL LIABILITIES AND EQUITY;12773.7;13007.4;12929.1;12170.3;None;
