Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;1.6;1.6;15.6;21.0;None;
TOTAL REVENUES;1008.3;1045.5;1098.0;1108.4;None;
Cost of Goods Sold;102.4;107.1;108.3;116.4;None;
GROSS PROFIT;905.9;938.4;989.7;992.0;None;
Selling General & Admin Expenses Total;144.0;150.1;166.5;171.2;None;
Depreciation & Amortization Total;416.3;314.2;385.5;327.5;None;
Other Operating Expenses;83.4;93.2;120.2;123.5;None;
OTHER OPERATING EXPENSES TOTAL;83.4;93.2;120.2;123.5;None;
OPERATING INCOME;366.7;490.8;438.0;492.2;None;
Interest Expense;-361.4;-398.8;-377.2;-317.3;None;
Interest and Investment Income;84.0;116.7;90.5;65.2;None;
NET INTEREST EXPENSE;-277.4;-282.2;-286.7;-252.1;None;
Currency Exchange Gains (Loss);4.0;-4.5;3.2;-2.5;None;
Other Non-Operating Income (Expenses);-24.0;-51.7;-76.3;-166.4;None;
Impairment of Goodwill;-1.1;--;--;-0.4;None;
Gain (Loss) on Sale of Investments;0.5;0.9;0.6;0.2;None;
Gain (Loss) on Sale of Assets;125.5;66.3;204.8;173.4;None;
Other Unusual Items Total;--;--;--;-76.3;None;
EBT INCLUDING UNUSUAL ITEMS;194.1;219.7;283.6;168.0;None;
Income Tax Expense;11.7;21.9;21.7;31.0;None;
Minority Interest in Earnings;-57.9;-55.4;-95.3;-83.4;None;
Earnings from Continuing Operations;182.4;197.8;261.9;137.0;None;
NET INCOME;124.6;142.4;166.6;53.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;124.6;142.4;166.6;53.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;124.6;142.4;166.6;53.6;None;
