Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;106.0;82.7;111.5;75.6;None;
Short-Term Investments;0.0;0.4;6.1;8.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;106.0;83.1;117.6;83.8;None;
Accounts Receivable;447.0;439.3;429.9;405.8;None;
Other Receivables;19.2;23.2;17.6;17.4;None;
TOTAL RECEIVABLES;466.2;462.5;447.4;423.3;None;
Inventory;2.2;1.6;2.4;0.9;None;
Prepaid Expenses;105.6;5.9;5.6;5.9;None;
Other Current Assets;10.7;81.3;80.9;71.3;None;
TOTAL CURRENT ASSETS;690.6;634.5;653.9;585.3;None;
Gross Property Plant and Equipment;88.8;95.5;99.2;103.6;None;
Accumulated Depreciation;-61.1;-67.3;-73.7;-80.1;None;
NET PROPERTY PLANT AND EQUIPMENT;27.7;28.2;25.5;23.6;None;
Goodwill;66.7;94.1;82.3;78.7;None;
Long-Term Investments;1.5;6.4;9.1;11.5;None;
Deferred Tax Assets Long Term;31.6;25.7;26.0;20.3;None;
Other Intangibles;49.2;66.4;69.4;80.8;None;
Other Long-Term Assets;--;--;0.0;--;None;
TOTAL ASSETS;867.2;855.3;866.2;800.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;102.0;94.3;78.3;84.5;None;
Accrued Expenses;217.8;212.6;233.9;217.4;None;
Short-Term Borrowings;2.5;4.6;19.6;2.5;None;
Current Portion of Long-Term Debt/Capital Lease;36.5;3.9;130.3;130.2;None;
Current Income Taxes Payable;0.5;0.1;0.1;2.8;None;
Other Current Liabilities Total;2.3;11.4;1.4;14.4;None;
Unearned Revenue Current;642.1;636.6;632.1;597.5;None;
TOTAL CURRENT LIABILITIES;1003.7;963.6;1095.7;1049.2;None;
Long-Term Debt;1962.4;1981.5;1686.6;1516.2;None;
Minority Interest;--;0.1;0.0;0.1;None;
Pension & Other Post-Retirement Benefits;39.3;67.3;83.3;85.1;None;
Deferred Tax Liability Non-Current;1.1;1.3;1.0;--;None;
Other Non-Current Liabilities;14.9;6.4;6.3;16.3;None;
TOTAL LIABILITIES;3021.4;3020.1;2872.9;2666.7;None;
Common Stock;56.2;56.2;56.2;56.2;None;
Additional Paid in Capital;98.7;98.7;98.7;98.7;None;
Retained Earnings;244.9;191.6;158.6;114.8;None;
Treasury Stock;-4.0;-10.8;-10.0;-10.0;None;
Comprehensive Income and Other;-2550.0;-2500.4;-2310.2;-2126.4;None;
TOTAL COMMON EQUITY;-2154.2;-2164.8;-2006.8;-1866.8;None;
TOTAL EQUITY;-2154.2;-2164.8;-2006.8;-1866.7;None;
TOTAL LIABILITIES AND EQUITY;867.2;855.3;866.2;800.0;None;
