Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1125.2;1101.6;1066.2;998.9;None;
TOTAL REVENUES;1125.2;1101.6;1066.2;998.9;None;
Cost of Goods Sold;260.4;255.7;228.3;222.1;None;
GROSS PROFIT;864.8;845.9;838.0;776.8;None;
Selling General & Admin Expenses Total;346.2;356.0;378.4;358.0;None;
Depreciation & Amortization Total;18.4;25.4;36.7;40.7;None;
Other Operating Expenses;18.0;19.7;11.4;15.3;None;
OTHER OPERATING EXPENSES TOTAL;382.5;401.0;426.5;414.1;None;
OPERATING INCOME;482.3;444.9;411.4;362.7;None;
Interest Expense;-95.4;-95.8;-104.4;-99.7;None;
Interest and Investment Income;0.2;0.2;0.6;0.3;None;
NET INTEREST EXPENSE;-95.2;-95.5;-103.8;-99.4;None;
Income (Loss) on Equity Investments;--;-0.2;-0.9;-0.2;None;
Currency Exchange Gains (Loss);0.0;--;--;--;None;
Other Non-Operating Income (Expenses);-2.8;-30.6;-32.2;-32.9;None;
EBT EXCLUDING UNUSUAL ITEMS;384.3;318.6;274.4;230.2;None;
Merger & Restructuring Charges;--;--;--;-27.5;None;
Impairment of Goodwill;--;--;-4.4;-5.2;None;
Gain (Loss) on Sale of Assets;-0.1;-1.2;0.9;-0.8;None;
EBT INCLUDING UNUSUAL ITEMS;384.2;317.4;271.0;196.7;None;
Income Tax Expense;139.2;125.8;112.4;81.9;None;
Minority Interest in Earnings;--;0.0;0.1;-0.1;None;
Earnings from Continuing Operations;244.9;191.6;158.5;114.8;None;
NET INCOME;244.9;191.6;158.6;114.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;244.9;191.6;158.6;114.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;244.9;191.6;158.6;114.8;None;
