Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;232.3;488.3;494.3;602.8;None;
Short-Term Investments;--;--;--;3.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;232.3;488.3;494.3;605.8;None;
Accounts Receivable;496.4;534.9;490.6;474.3;None;
Other Receivables;43.4;136.6;84.7;74.6;None;
TOTAL RECEIVABLES;539.8;671.5;575.3;548.9;None;
Inventory;549.1;601.0;599.8;620.9;None;
Prepaid Expenses;98.7;20.3;105.8;106.6;None;
Other Current Assets;4.2;0.2;4.2;3.2;None;
TOTAL CURRENT ASSETS;1424.1;1781.3;1779.4;1885.4;None;
Gross Property Plant and Equipment;--;--;2529.3;2522.2;None;
Accumulated Depreciation;--;--;-1952.7;-1961.6;None;
NET PROPERTY PLANT AND EQUIPMENT;613.4;605.9;576.6;560.6;None;
Goodwill;2132.2;2403.5;2455.2;2411.7;None;
Long-Term Investments;32.3;0.9;0.7;0.8;None;
Deferred Tax Assets Long Term;90.1;91.9;93.8;94.5;None;
Deferred Charges Long Term;107.4;--;--;--;None;
Other Intangibles;1660.6;1767.4;1823.5;1821.1;None;
Other Long-Term Assets;4.6;4.6;2.3;2.5;None;
TOTAL ASSETS;6064.7;6655.5;6731.5;6776.6;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;432.0;435.0;440.7;468.8;None;
Accrued Expenses;375.9;413.2;413.5;379.6;None;
Current Portion of Long-Term Debt/Capital Lease;216.8;218.0;80.1;86.9;None;
Current Portion of Capital Lease Obligations;2.6;2.6;2.1;1.3;None;
Current Income Taxes Payable;46.9;31.3;16.6;24.5;None;
Other Current Liabilities Total;165.6;164.2;157.7;147.2;None;
Unearned Revenue Current;15.8;15.8;15.8;15.0;None;
TOTAL CURRENT LIABILITIES;1253.0;1277.5;1124.4;1122.0;None;
Long-Term Debt;1195.2;1523.8;1482.9;1474.2;None;
Capital Leases;17.8;15.3;13.8;12.4;None;
Minority Interest;5.4;3.4;5.5;11.3;None;
Pension & Other Post-Retirement Benefits;136.9;148.7;165.6;169.7;None;
Deferred Tax Liability Non-Current;633.5;644.2;648.8;661.8;None;
Other Non-Current Liabilities;92.3;96.8;105.4;87.8;None;
TOTAL LIABILITIES;3328.7;3706.3;3540.9;3527.9;None;
Common Stock;1052.6;1053.6;1057.5;1062.4;None;
Retained Earnings;1810.7;2064.3;2335.9;2575.8;None;
Comprehensive Income and Other;-132.7;-172.1;-208.3;-400.8;None;
TOTAL COMMON EQUITY;2730.6;2945.8;3185.1;3237.4;None;
TOTAL EQUITY;2736.0;2949.2;3190.6;3248.7;None;
TOTAL LIABILITIES AND EQUITY;6064.7;6655.5;6731.5;6776.6;None;
