Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3890.5;4250.1;4466.7;4460.4;None;
TOTAL REVENUES;3890.5;4250.1;4466.7;4460.4;None;
Cost of Goods Sold;1812.8;2028.0;2157.8;2156.6;None;
GROSS PROFIT;2077.7;2222.1;2308.9;2303.8;None;
Selling General & Admin Expenses Total;1051.2;1137.4;1197.1;1184.4;None;
R&D Expenses;183.1;201.6;197.0;197.8;None;
Other Operating Expenses;54.3;36.3;41.3;42.9;None;
OTHER OPERATING EXPENSES TOTAL;1288.6;1375.3;1435.4;1425.1;None;
OPERATING INCOME;789.1;846.8;873.5;878.7;None;
Interest Expense;-81.7;-97.0;-102.1;-87.7;None;
Interest and Investment Income;11.7;15.0;20.8;6.8;None;
NET INTEREST EXPENSE;-70.0;-82.0;-81.3;-80.9;None;
Currency Exchange Gains (Loss);-39.8;10.6;-11.7;-1.8;None;
Other Non-Operating Income (Expenses);-1.2;-0.2;-0.4;0.1;None;
EBT EXCLUDING UNUSUAL ITEMS;678.1;775.2;780.1;796.1;None;
Merger & Restructuring Charges;-31.5;-18.6;-25.5;-29.3;None;
Impairment of Goodwill;--;-15.9;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;646.6;740.7;754.6;766.8;None;
Income Tax Expense;227.1;261.4;247.6;233.5;None;
Minority Interest in Earnings;-1.2;-0.7;-1.4;-2.8;None;
Earnings from Continuing Operations;419.5;479.3;507.0;533.3;None;
NET INCOME;418.3;478.6;505.6;530.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;418.3;478.6;505.6;530.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;418.3;478.6;505.6;530.5;None;
