Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;95.4;60.8;67.4;208.4;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;95.4;60.8;67.4;208.4;None;
Accounts Receivable;70.2;59.6;74.3;127.3;None;
Notes Receivable;1.2;1.1;6.4;1.6;None;
Other Receivables;167.7;92.6;76.0;109.7;None;
TOTAL RECEIVABLES;239.1;153.3;156.7;238.6;None;
Inventory;14.9;9.2;3.3;8.3;None;
Prepaid Expenses;3.9;1.3;1.6;1.7;None;
Other Current Assets;137.0;13.4;28.0;28.1;None;
TOTAL CURRENT ASSETS;490.3;238.0;256.9;485.1;None;
Gross Property Plant and Equipment;855.9;871.1;1074.1;1248.6;None;
Accumulated Depreciation;-144.2;-132.7;-203.7;-301.2;None;
NET PROPERTY PLANT AND EQUIPMENT;711.7;738.5;870.4;947.3;None;
Goodwill;6.4;6.4;6.4;6.4;None;
Long-Term Investments;40.9;82.4;73.1;6.1;None;
Loans Receivable Long Term;61.3;7.5;0.1;0.6;None;
Deferred Tax Assets Long Term;12.5;8.1;5.0;2.8;None;
Other Intangibles;514.2;404.7;435.1;425.3;None;
Other Long-Term Assets;11.1;2.3;0.4;17.9;None;
TOTAL ASSETS;1848.5;1487.9;1647.4;1891.4;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;147.0;32.4;50.8;36.7;None;
Accrued Expenses;43.9;59.4;67.3;84.1;None;
Short-Term Borrowings;--;--;15.1;10.3;None;
Current Portion of Long-Term Debt/Capital Lease;138.7;22.1;109.5;358.9;None;
Current Portion of Capital Lease Obligations;--;--;0.0;0.2;None;
Current Income Taxes Payable;16.1;12.4;2.5;3.6;None;
Other Current Liabilities Total;48.6;67.4;93.1;70.6;None;
TOTAL CURRENT LIABILITIES;394.2;193.8;338.3;564.2;None;
Long-Term Debt;540.2;400.1;346.8;290.3;None;
Capital Leases;--;--;--;2.7;None;
Minority Interest;0.0;0.0;2.4;-2.5;None;
Pension & Other Post-Retirement Benefits;0.2;0.2;0.2;0.6;None;
Deferred Tax Liability Non-Current;59.0;118.8;180.0;261.9;None;
Other Non-Current Liabilities;20.1;9.9;8.3;8.4;None;
TOTAL LIABILITIES;1013.7;722.8;873.5;1128.1;None;
Common Stock;93.4;93.6;93.6;93.6;None;
Additional Paid in Capital;221.5;221.2;218.3;216.4;None;
Retained Earnings;-138.8;164.6;41.0;62.8;None;
Treasury Stock;-81.5;-76.2;-72.7;-70.9;None;
Comprehensive Income and Other;740.2;362.0;491.4;464.0;None;
TOTAL COMMON EQUITY;834.8;765.1;771.5;765.8;None;
TOTAL EQUITY;834.8;765.1;773.9;763.3;None;
TOTAL LIABILITIES AND EQUITY;1848.5;1487.9;1647.4;1891.4;None;
